"","Season","League","Team","Playoffs","win_loss_pct","fg","fg2","fg3","ft","pf","age","fg_pct","fga","fg3_pct","fg3a","ft_pct","orb","drb","ast","stl","tov","off_rtg","def_rtg","pace","ts_pct","efg_pct","opp_efg_pct","sos"
"246","2013-14","NBA","Indiana Pacers","Yes",0.683,36,29.3,6.7,18.1,20.4,27.2,0.449,80.2,0.357,18.8,0.779,10.2,34.5,20.1,6.7,15.1,104.1,99.3,92.5,0.535,0.49,0.46,-0.77
"247","2013-14","NBA","Chicago Bulls","Yes",0.585,34.7,28.5,6.2,18.1,19.1,28.6,0.432,80.2,0.348,17.8,0.779,11.4,32.7,22.7,7.2,14.9,102.5,100.5,90.2,0.518,0.471,0.471,-0.66
"248","2013-14","NBA","Cleveland Cavaliers","No",0.402,37,29.9,7.1,17,20,24.9,0.437,84.8,0.356,20,0.751,12.1,32.1,21.2,7.1,14.2,104.2,107.7,93.1,0.518,0.479,0.508,-0.57
"249","2013-14","NBA","Detroit Pistons","No",0.354,38.8,32.6,6.2,17.3,20.3,24.7,0.447,86.9,0.321,19.3,0.67,14.6,30.8,20.9,8.4,14.5,105.9,109.7,94.9,0.514,0.482,0.52,-0.48
"250","2013-14","NBA","Milwaukee Bucks","No",0.183,36,29.3,6.7,16.8,20.9,24.7,0.438,82.2,0.353,18.9,0.747,11.8,29.3,21.5,6.6,15.1,103,111.8,91.8,0.519,0.479,0.52,-0.23
"251","2013-14","NBA","Miami Heat","Yes",0.659,38.3,30.2,8.1,17.5,19.5,30.6,0.501,76.5,0.364,22.3,0.76,7.6,29.2,22.5,8.9,14.8,110.9,105.8,91.2,0.59,0.554,0.511,-0.61
"252","2013-14","NBA","Washington Wizards","Yes",0.537,38.7,30.9,7.9,15.3,20.4,26.3,0.459,84.4,0.38,20.8,0.731,10.8,31.4,23.3,8.1,14.7,106,104.6,93.2,0.538,0.506,0.504,-0.79
"253","2013-14","NBA","Charlotte Bobcats","Yes",0.524,36.3,30,6.3,18,18.2,25.5,0.442,82.1,0.351,17.9,0.737,9.5,33.2,21.7,6.1,12.3,103.6,103.8,92.4,0.522,0.481,0.491,-0.67
"254","2013-14","NBA","Atlanta Hawks","Yes",0.463,37.3,28,9.4,17,19.2,27.5,0.458,81.6,0.363,25.8,0.781,8.7,31.3,24.9,8.3,15.3,105.9,106.4,94.6,0.554,0.515,0.51,-0.4
"255","2013-14","NBA","Orlando Magic","No",0.28,36.9,30,6.9,15.9,20.5,24.6,0.445,82.7,0.353,19.5,0.763,9.7,32.4,21,7.7,14.9,101.7,107.4,93.6,0.525,0.487,0.504,-0.44
"256","2013-14","NBA","Oklahoma City Thunder","Yes",0.72,39,30.9,8.1,20.2,22.7,26.2,0.471,82.7,0.361,22.4,0.806,10.8,33.9,21.9,8.3,15.3,110.5,103.9,95.4,0.566,0.52,0.488,0.32
"257","2013-14","NBA","Portland Trail Blazers","Yes",0.659,39.1,29.7,9.4,19.1,19.2,25.8,0.45,87,0.372,25.3,0.815,12.5,34,23.2,5.5,13.7,111.5,107.4,94.9,0.548,0.504,0.488,0.45
"258","2013-14","NBA","Minnesota Timberwolves","No",0.488,38.9,31.6,7.3,21.8,18.3,26.3,0.444,87.5,0.341,21.4,0.778,12.5,32.2,23.9,8.8,13.9,108.9,106.2,97.3,0.535,0.486,0.518,0.43
"259","2013-14","NBA","Denver Nuggets","No",0.439,38.4,29.8,8.6,19.1,23,26,0.447,85.9,0.358,23.9,0.726,12.3,33.1,22.4,7.5,15.9,106,108.2,98.1,0.536,0.497,0.5,0.75
"260","2013-14","NBA","Utah Jazz","No",0.305,36,29.4,6.6,16.4,20.7,24.5,0.444,81.1,0.344,19.2,0.747,11,30.2,20.3,7,14.6,103.5,111.3,91.4,0.523,0.484,0.518,0.91
"261","2013-14","NBA","Los Angeles Clippers","Yes",0.695,39.1,30.7,8.5,21.2,21.5,28.1,0.474,82.5,0.352,24,0.73,10.5,32.5,24.6,8.6,13.9,112.1,104.8,95.9,0.567,0.526,0.484,0.3
"262","2013-14","NBA","Golden State Warriors","Yes",0.622,39.5,30,9.4,15.9,21.8,26.3,0.462,85.4,0.38,24.8,0.753,10.9,34.4,23.3,7.8,15.2,107.5,102.6,96.2,0.55,0.517,0.477,0.34
"263","2013-14","NBA","Phoenix Suns","No",0.585,38.7,29.4,9.3,18.5,21.9,26.2,0.463,83.5,0.372,25.1,0.758,11.3,31.7,19.1,8.4,15.3,109.5,106.7,95.8,0.558,0.519,0.496,0.39
"264","2013-14","NBA","Sacramento Kings","No",0.341,36.9,30.9,6,20.7,22.5,24.9,0.447,82.5,0.333,18,0.759,12.1,32.4,18.9,7.2,15.2,105.7,108.8,94.4,0.532,0.484,0.512,0.82
