Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1999/2000,WNBA,Minnesota Lynx,15,17,.469,13.0,68.5,68.4,No,24.2,16,16,0.16,1.03,1.18,97.8,97.6,+0.2,69.8,.323,.312,.524,.476,19.2,27.6,.245,.476,20.9,67.1,.292,32,200.8,24.1,57.2,.421,6.4,17.8,.357,17.7,39.4,.449,14.0,18.5,.758,8.1,19.1,27.2,15.5,7.4,2.0,15.5,21.6,68.5
1999/2000,WNBA,Portland Fire,10,22,.313,18.0,67.3,72.0,No,25.4,9,23,-4.63,1.13,-3.49,92.8,99.2,-6.4,71.2,.381,.237,.505,.456,21.7,32.4,.267,.467,19.6,67.1,.312,32,203.9,23.8,57.1,.416,4.5,13.5,.335,19.3,43.6,.442,15.3,21.8,.700,9.7,19.6,29.3,15.0,8.3,2.9,18.5,23.8,67.3
1999/2000,WNBA,Seattle Storm,6,26,.188,22.0,56.9,67.8,No,26.5,3,29,-10.91,1.79,-9.12,83.8,99.9,-16.1,67.2,.322,.209,.459,.415,20.9,26.2,.218,.486,20.8,65.1,.289,32,202.3,20.8,54.4,.383,3.4,11.4,.299,17.4,43.0,.406,11.8,17.5,.676,8.0,16.8,24.8,12.2,8.0,2.9,16.4,20.3,56.9
2009/2010,NBA,Boston Celtics,50,32,.610,—,99.2,95.6,Yes,29.4,52,30,3.66,-0.29,3.37,107.7,103.8,+3.9,91.6,.332,.228,.564,.522,14.5,22.8,.248,.487,14.9,73.8,.251,82,241.2,37.1,76.8,.483,6.1,17.5,.348,31.0,59.3,.523,19.0,25.5,.746,8.7,29.9,38.6,23.5,8.5,4.9,14.9,22.1,99.2
2009/2010,NBA,Toronto Raptors,40,42,.488,10.0,104.1,105.9,No,25.2,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,.319,.211,.564,.521,12.7,24.7,.244,.513,11.8,72.9,.247,82,241.2,39.0,80.9,.482,6.3,17.0,.371,32.7,63.8,.512,19.7,25.8,.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1
2009/2010,NBA,New York Knicks,29,53,.354,21.0,102.1,105.9,No,25.4,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,.256,.312,.547,.509,13.0,23.5,.200,.526,13.3,72.1,.207,82,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1
2009/2010,NBA,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,No,25.4,30,52,-3.90,-0.03,-3.93,106.1,110.3,-4.2,91.6,.270,.206,.534,.496,13.7,27.6,.204,.518,13.8,73.2,.231,82,241.5,37.6,81.8,.460,5.8,16.8,.343,31.9,64.9,.491,16.7,22.0,.756,11.5,29.5,41.0,21.0,8.1,5.4,14.5,20.5,97.7
2009/2010,NBA,New Jersey Nets,12,70,.146,38.0,92.4,101.5,No,24.8,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,.307,.181,.509,.458,13.7,25.1,.240,.517,13.3,71.8,.229,82,241.2,34.3,79.9,.429,4.6,14.5,.318,29.7,65.5,.454,19.2,24.6,.780,10.9,28.8,39.7,18.8,7.0,4.8,14.4,20.0,92.4
2009/2010,NBA,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,Yes,28.0,59,23,6.52,-0.36,6.17,111.2,104.1,+7.1,91.4,.341,.248,.570,.532,13.4,25.1,.246,.482,12.3,77.2,.218,82,241.2,37.8,77.9,.485,7.3,19.3,.381,30.5,58.6,.520,19.1,26.6,.720,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1
2009/2010,NBA,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,Yes,26.4,46,36,1.70,-0.32,1.37,104.9,103.1,+1.8,91.7,.239,.259,.518,.482,12.3,26.2,.181,.486,14.6,76.4,.266,82,243.7,37.2,85.3,.436,7.9,22.1,.356,29.3,63.2,.464,15.4,20.4,.755,11.8,31.2,43.0,21.2,7.1,4.7,13.2,22.2,97.7
