Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2009/2010,NBA,San Antonio Spurs,50,32,.610,5.0,101.4,96.3,Yes,28.7,55,27,5.09,-0.02,5.07,110.0,104.5,+5.5,91.7,.296,.232,.552,.515,12.9,26.8,.219,.483,12.1,76.3,.214,82,241.2,38.4,81.2,.473,6.8,18.9,.358,31.7,62.3,.508,17.8,24.0,.740,10.8,32.0,42.8,22.3,6.3,4.6,13.6,20.4,101.4
2009/2010,NBA,Houston Rockets,42,40,.512,13.0,102.4,102.7,No,26.0,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,.292,.265,.537,.494,13.2,26.9,.225,.511,13.6,73.8,.215,82,242.7,37.7,84.4,.447,7.9,22.4,.351,29.9,62.0,.481,19.0,24.7,.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4
2009/2010,NBA,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,No,24.1,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,.320,.148,.536,.494,13.7,31.3,.235,.520,13.2,73.3,.205,82,242.7,39.3,83.8,.469,4.2,12.4,.337,35.1,71.4,.492,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5
2009/2010,NBA,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,No,27.5,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,.243,.230,.543,.506,12.7,24.8,.189,.523,13.5,73.8,.205,82,241.8,38.8,83.4,.464,7.0,19.2,.363,31.8,64.3,.495,15.8,20.3,.778,10.4,29.9,40.3,22.3,7.6,3.7,13.5,19.6,100.2
2009/2010,WNBA,New York Liberty,22,12,.647,—,79.2,76.0,Yes,27.8,22,12,3.24,0.86,4.10,104.7,100.4,+4.3,74.8,.253,.258,.548,.505,16.7,27.5,.207,.477,17.8,71.3,.257,34,202.2,29.4,65.1,.453,6.9,16.8,.409,22.6,48.3,.468,13.5,16.5,.818,8.7,22.6,31.2,18.6,8.2,2.9,14.5,19.0,79.2
2009/2010,WNBA,Washington Mystics,22,12,.647,—,76.9,73.3,Yes,28.0,23,11,3.65,0.81,4.46,101.8,97.0,+4.8,75.0,.346,.216,.541,.489,19.6,33.5,.268,.464,18.0,74.2,.257,34,201.5,27.8,61.7,.451,4.7,13.4,.352,23.1,48.4,.478,16.6,21.4,.775,10.0,24.1,34.2,13.9,8.1,2.3,17.3,20.1,76.9
2009/2010,WNBA,Indiana Fever,21,13,.618,1.0,78.3,74.1,Yes,28.6,23,11,4.21,0.68,4.89,102.0,96.5,+5.5,75.9,.335,.275,.540,.489,18.3,29.5,.262,.458,19.8,69.7,.266,34,202.2,27.7,63.1,.438,6.4,17.4,.365,21.3,45.8,.466,16.6,21.2,.782,9.6,22.9,32.5,16.7,9.7,5.0,16.2,20.7,78.3
2009/2010,WNBA,Atlanta Dream,19,15,.559,3.0,85.4,83.1,Yes,26.0,20,14,2.26,0.93,3.20,101.5,98.8,+2.7,83.5,.344,.185,.515,.471,16.8,34.4,.244,.469,17.6,72.9,.267,34,201.5,32.0,72.0,.444,3.9,13.3,.289,28.1,58.7,.479,17.6,24.8,.709,12.8,26.0,38.8,19.6,8.9,4.1,16.7,20.9,85.4
2009/2010,WNBA,Connecticut Sun,17,17,.500,5.0,81.0,79.9,No,25.2,19,15,1.15,1.13,2.28,102.0,100.6,+1.4,78.2,.278,.271,.520,.473,15.9,29.2,.223,.474,15.9,72.0,.208,34,202.9,29.6,69.4,.427,6.3,18.8,.333,23.4,50.5,.463,15.4,19.3,.802,10.5,26.0,36.5,17.8,7.1,3.8,14.7,17.8,81.0
2009/2010,WNBA,Chicago Sky,14,20,.412,8.0,76.1,76.8,No,26.8,16,18,-0.74,1.32,0.58,100.5,101.5,-1.0,74.8,.329,.236,.523,.477,16.8,28.1,.245,.491,17.8,69.2,.203,34,202.2,27.7,63.5,.437,5.1,15.0,.341,22.6,48.5,.466,15.5,20.9,.745,9.1,22.6,31.7,17.1,8.4,4.7,14.6,17.6,76.1
2009/2010,WNBA,Seattle Storm,28,6,.824,—,81.8,73.9,Yes,27.7,27,7,7.91,-1.98,5.93,108.2,97.7,+10.5,74.5,.312,.299,.549,.500,17.1,35.9,.247,.456,17.3,73.2,.256,34,202.9,29.2,65.5,.445,7.2,19.6,.369,21.9,45.9,.478,16.2,20.4,.793,11.6,24.7,36.3,18.7,8.3,3.8,15.4,20.7,81.8
2009/2010,WNBA,Phoenix Mercury,15,19,.441,13.0,93.9,93.8,Yes,27.0,17,17,0.12,-0.98,-0.87,109.9,109.8,+0.1,83.6,.309,.288,.578,.525,15.8,25.0,.262,.502,13.1,69.9,.219,34,204.4,33.9,71.5,.473,7.4,20.6,.359,26.4,50.9,.519,18.8,22.1,.848,8.7,27.1,35.7,20.2,7.0,4.4,15.3,20.0,93.9
2009/2010,WNBA,San Antonio Silver Stars,14,20,.412,14.0,76.8,80.1,Yes,29.1,12,22,-3.26,-1.11,-4.38,101.7,106.0,-4.3,75.5,.293,.278,.548,.507,18.0,25.0,.224,.507,16.5,69.6,.225,34,200.0,28.6,62.1,.461,5.7,17.3,.332,22.9,44.8,.510,13.9,18.2,.763,7.8,22.3,30.1,17.6,7.5,2.5,15.4,16.9,76.8
2009/2010,WNBA,Los Angeles Sparks,13,21,.382,15.0,77.9,81.2,Yes,29.7,12,22,-3.32,-0.54,-3.87,100.7,105.0,-4.3,77.1,.278,.271,.535,.486,16.7,23.6,.228,.488,15.7,68.8,.213,34,200.7,28.6,64.9,.441,5.9,17.6,.337,22.7,47.3,.479,14.8,18.0,.822,7.6,23.2,30.8,18.4,7.2,3.6,14.6,16.8,77.9
2009/2010,WNBA,Minnesota Lynx,13,21,.382,15.0,78.7,82.1,No,25.5,12,22,-3.41,-1.09,-4.51,97.9,102.2,-4.3,78.9,.344,.221,.489,.433,15.3,30.7,.260,.495,18.1,73.0,.258,34,203.7,27.8,69.9,.397,5.0,15.5,.321,22.8,54.4,.419,18.2,24.1,.756,11.6,23.6,35.2,14.9,8.9,3.3,14.5,20.1,78.7
2009/2010,WNBA,Tulsa Shock,6,28,.176,22.0,78.0,89.8,No,26.3,4,30,-11.79,-0.02,-11.81,94.9,109.2,-14.3,81.9,.294,.238,.505,.466,19.0,27.8,.209,.528,18.5,65.6,.258,34,200.7,28.9,68.3,.424,5.8,16.3,.357,23.1,52.0,.444,14.3,20.1,.711,10.1,21.5,31.6,16.7,9.8,4.2,18.1,19.7,78.0
