Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2020/2021,Denver Nuggets,72,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
2020/2021,New Orleans Pelicans,72,242.1,42.5,89.1,.477,10.6,30.4,.348,31.9,58.6,.544,19.0,26.1,.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6
2020/2021,Los Angeles Clippers,72,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0
2020/2021,Atlanta Hawks,72,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
2020/2021,Sacramento Kings,72,240.3,42.6,88.6,.481,12.1,33.3,.364,30.5,55.3,.551,16.4,22.0,.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7
2020/2021,Golden State Warriors,72,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7
2020/2021,Philadelphia 76ers,72,242.1,41.4,86.9,.476,11.3,30.1,.374,30.1,56.8,.531,19.6,25.5,.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6
2020/2021,Memphis Grizzlies,72,241.7,42.8,91.8,.467,11.2,31.4,.356,31.7,60.4,.525,16.4,21.3,.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3
2020/2021,Boston Celtics,72,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
2020/2021,Dallas Mavericks,72,240.3,41.1,87.3,.470,13.8,38.1,.362,27.3,49.2,.554,16.5,21.2,.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4
2020/2021,Minnesota Timberwolves,72,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1
2020/2021,Toronto Raptors,72,240.3,39.7,88.7,.448,14.5,39.3,.368,25.3,49.3,.512,17.4,21.3,.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3
2020/2021,San Antonio Spurs,72,242.8,41.9,90.5,.462,9.9,28.4,.350,31.9,62.1,.514,17.4,22.0,.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1
2020/2021,Chicago Bulls,72,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7
2020/2021,Los Angeles Lakers,72,242.4,40.6,86.1,.472,11.1,31.2,.354,29.6,54.8,.539,17.2,23.3,.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
2020/2021,Charlotte Hornets,72,241.0,39.9,87.8,.455,13.7,37.0,.369,26.3,50.8,.517,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5
2020/2021,Houston Rockets,72,240.3,39.3,88.5,.444,13.8,40.6,.339,25.5,47.9,.532,16.5,22.3,.740,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8
2020/2021,Miami Heat,72,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1
2020/2021,New York Knicks,72,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0
2020/2021,Detroit Pistons,72,242.1,38.7,85.6,.452,11.6,32.9,.351,27.1,52.7,.515,17.8,23.4,.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
2020/2021,Oklahoma City Thunder,72,241.0,38.8,88.0,.441,11.9,35.1,.339,26.9,52.9,.509,15.5,21.3,.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0
2020/2021,Orlando Magic,72,240.7,38.3,89.2,.429,10.9,31.8,.343,27.4,57.4,.476,16.6,21.4,.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0
2020/2021,Cleveland Cavaliers,72,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
2020/2021,Las Vegas Aces,32,202.3,33.1,70.2,.472,5.1,13.5,.375,28.1,56.7,.495,17.9,21.9,.819,7.3,31.3,38.6,20.8,6.8,4.6,11.6,14.2,89.3
2020/2021,Seattle Storm,32,203.9,31.0,68.9,.450,8.6,22.6,.380,22.4,46.3,.484,14.2,16.9,.839,7.2,28.4,35.6,21.3,7.5,4.2,12.3,15.5,84.8
2020/2021,Chicago Sky,32,203.1,30.8,69.9,.441,7.3,21.2,.343,23.5,48.7,.484,14.3,17.0,.845,8.3,26.7,34.9,21.8,7.0,4.5,13.8,19.0,83.3
2020/2021,Minnesota Lynx,32,201.6,30.7,67.1,.458,6.8,19.8,.340,23.9,47.2,.507,14.6,17.4,.837,7.3,27.7,34.9,20.4,6.8,4.1,14.0,17.5,82.7
2020/2021,Phoenix Mercury,32,201.6,29.5,65.7,.450,7.5,21.8,.346,22.0,43.9,.501,15.5,19.4,.798,8.0,28.2,36.2,19.7,4.8,5.2,12.8,16.3,82.1
2020/2021,Dallas Wings,32,201.6,29.7,70.7,.420,8.2,23.1,.354,21.5,47.6,.451,13.6,16.4,.829,10.0,26.1,36.1,17.3,6.8,3.9,12.8,18.4,81.1
2020/2021,Washington Mystics,32,200.8,28.4,69.2,.410,9.0,27.4,.328,19.4,41.8,.464,14.0,17.4,.808,8.1,25.2,33.3,18.6,6.9,3.1,12.3,17.2,79.8
2020/2021,Connecticut Sun,32,201.6,29.2,65.6,.444,7.0,19.6,.356,22.2,46.1,.482,14.4,17.7,.816,9.7,26.9,36.6,18.0,7.8,3.6,13.9,17.8,79.7
2020/2021,Atlanta Dream,32,201.6,30.6,73.5,.417,6.1,19.8,.310,24.5,53.7,.456,11.3,15.7,.720,9.7,24.4,34.1,17.4,8.9,4.6,11.0,18.4,78.7
2020/2021,New York Liberty,32,200.8,28.3,66.1,.428,10.0,27.7,.362,18.2,38.3,.475,11.9,14.7,.813,6.2,27.1,33.3,19.2,6.1,3.8,16.2,17.9,78.5
2020/2021,Indiana Fever,32,200.0,28.4,68.2,.417,4.9,17.3,.284,23.5,50.9,.461,13.6,17.0,.800,9.6,24.8,34.3,16.7,6.3,3.8,13.8,17.8,75.3
2020/2021,Los Angeles Sparks,32,201.6,27.0,65.8,.411,6.8,20.1,.335,20.3,45.7,.444,11.9,15.6,.766,6.1,23.2,29.3,15.4,8.3,4.2,13.2,19.3,72.8
2021/2022,Minnesota Timberwolves,82,241.2,41.6,91.0,.457,14.8,41.3,.358,26.8,49.7,.540,18.0,23.1,.778,11.2,32.9,44.2,25.7,8.8,5.6,14.3,21.8,115.9
2021/2022,Memphis Grizzlies,82,241.2,43.5,94.4,.461,11.5,32.7,.353,32.0,61.7,.519,17.0,23.1,.734,14.1,35.0,49.2,26.0,9.8,6.5,13.2,19.8,115.6
2021/2022,Milwaukee Bucks,82,240.9,41.8,89.4,.468,14.1,38.4,.366,27.8,51.0,.544,17.8,22.9,.776,10.2,36.5,46.7,23.9,7.6,4.0,13.4,18.2,115.5
2021/2022,Charlotte Hornets,82,242.4,42.8,91.4,.468,13.9,38.2,.365,28.8,53.3,.542,15.8,21.4,.740,10.8,33.7,44.6,28.1,8.6,4.9,13.3,19.9,115.3
2021/2022,Phoenix Suns,82,240.6,43.7,90.1,.485,11.6,31.9,.364,32.1,58.2,.551,15.9,19.9,.797,9.8,35.5,45.3,27.4,8.6,4.4,12.9,19.9,114.8
2021/2022,Atlanta Hawks,82,240.3,41.5,88.3,.470,12.9,34.4,.374,28.6,53.9,.531,18.1,22.3,.812,10.0,33.9,44.0,24.6,7.2,4.2,11.9,18.7,113.9
2021/2022,Utah Jazz,82,240.6,40.6,86.2,.471,14.5,40.3,.360,26.0,45.8,.568,17.9,23.4,.767,10.8,35.6,46.3,22.4,7.2,4.9,14.0,18.9,113.6
2021/2022,San Antonio Spurs,82,241.5,43.2,92.7,.467,11.3,32.0,.352,32.0,60.7,.527,15.4,20.4,.754,11.0,34.3,45.3,27.9,7.6,4.9,12.7,18.1,113.2
2021/2022,Brooklyn Nets,82,240.9,42.0,88.4,.475,11.5,31.7,.361,30.5,56.7,.538,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9
2021/2022,Denver Nuggets,82,241.5,41.7,86.3,.483,12.7,35.9,.353,29.0,50.4,.575,16.7,21.0,.795,9.2,34.9,44.1,27.8,7.2,3.7,14.5,20.0,112.7
2021/2022,Los Angeles Lakers,82,243.7,41.6,88.8,.469,12.0,34.5,.347,29.7,54.3,.546,16.8,23.0,.732,9.5,34.5,44.0,24.0,7.6,5.2,14.5,20.2,112.1
2021/2022,Boston Celtics,82,242.7,40.7,87.4,.466,13.2,37.1,.356,27.5,50.3,.547,17.0,20.9,.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
2021/2022,Chicago Bulls,82,240.6,41.7,86.9,.480,10.6,28.8,.369,31.1,58.1,.535,17.5,21.5,.813,8.7,33.7,42.3,23.9,7.1,4.1,12.8,18.8,111.6
2021/2022,Indiana Pacers,82,242.4,41.4,89.5,.463,12.2,35.4,.344,29.3,54.1,.541,16.4,21.4,.768,11.3,32.6,43.9,25.4,7.1,5.6,14.4,20.4,111.5
2021/2022,Golden State Warriors,82,240.6,40.5,86.4,.469,14.3,39.4,.364,26.2,47.0,.557,15.6,20.3,.769,9.8,35.7,45.5,27.1,8.8,4.5,14.9,21.0,111.0
2021/2022,Sacramento Kings,82,241.5,40.5,88.1,.460,11.4,33.2,.344,29.1,54.9,.530,17.9,23.3,.768,9.6,33.4,42.9,23.7,7.2,4.5,14.1,18.9,110.3
2021/2022,Miami Heat,82,242.1,39.6,84.8,.467,13.6,35.8,.379,26.0,49.0,.531,17.3,21.4,.808,9.8,33.9,43.7,25.5,7.4,3.2,14.6,20.5,110.0
2021/2022,Philadelphia 76ers,82,241.5,39.4,84.5,.466,11.6,31.8,.364,27.8,52.7,.527,19.6,23.8,.821,8.5,33.8,42.3,23.7,7.7,5.3,12.5,19.4,109.9
2021/2022,Houston Rockets,82,240.9,39.4,86.4,.456,13.5,38.7,.349,25.9,47.7,.543,17.5,24.5,.713,9.6,32.4,42.0,23.6,7.3,4.7,16.5,20.6,109.7
2021/2022,Toronto Raptors,82,242.1,40.6,91.3,.445,11.9,34.2,.349,28.7,57.1,.503,16.2,21.3,.759,13.4,32.0,45.3,22.1,9.0,4.6,12.5,19.6,109.4
2021/2022,New Orleans Pelicans,82,240.9,40.2,88.0,.457,10.6,32.1,.332,29.5,55.9,.528,18.3,23.2,.789,12.0,33.2,45.2,25.0,8.3,4.0,14.1,19.7,109.3
2021/2022,Washington Wizards,82,241.8,40.6,86.0,.472,10.5,30.6,.342,30.1,55.4,.543,17.0,21.7,.783,9.0,34.1,43.1,25.0,6.4,5.0,13.1,18.8,108.6
2021/2022,Los Angeles Clippers,82,241.2,40.1,87.4,.458,12.8,34.2,.374,27.3,53.3,.512,15.5,19.6,.793,9.1,34.9,44.0,24.0,7.4,5.0,13.7,18.6,108.4
2021/2022,Dallas Mavericks,82,240.9,39.3,85.1,.461,13.1,37.4,.350,26.2,47.8,.548,16.4,21.2,.771,9.3,33.8,43.0,23.4,6.7,4.0,12.5,19.7,108.0
2021/2022,Cleveland Cavaliers,82,240.6,39.7,84.6,.469,11.6,32.8,.355,28.1,51.9,.541,16.8,22.1,.760,10.2,34.0,44.2,25.2,7.1,4.2,14.4,17.5,107.8
2021/2022,New York Knicks,82,241.2,37.7,86.2,.437,13.2,36.9,.357,24.5,49.3,.497,18.0,24.1,.744,11.5,34.6,46.1,21.9,7.0,4.9,13.3,20.4,106.5
2021/2022,Portland Trail Blazers,82,240.6,38.5,87.1,.442,12.7,36.8,.346,25.8,50.3,.513,16.4,21.6,.760,10.4,32.5,42.9,22.9,8.0,4.5,14.5,21.1,106.2
2021/2022,Detroit Pistons,82,241.2,38.2,88.6,.431,11.3,34.6,.326,26.9,54.0,.498,17.2,22.0,.782,11.0,32.0,43.0,23.5,7.7,4.8,14.2,21.9,104.8
2021/2022,Orlando Magic,82,241.2,38.3,88.3,.434,12.2,36.9,.331,26.1,51.4,.507,15.5,19.7,.787,9.1,35.2,44.3,23.7,6.8,4.5,14.5,19.7,104.2
2021/2022,Oklahoma City Thunder,82,241.5,38.3,89.1,.430,12.1,37.4,.323,26.2,51.8,.507,15.0,19.9,.756,10.4,35.2,45.6,22.2,7.6,4.6,14.0,18.3,103.7
2021/2022,Las Vegas Aces,36,200.7,32.3,70.3,.460,9.5,26.4,.361,22.8,43.8,.520,16.3,19.8,.823,6.9,28.4,35.4,20.8,7.7,3.9,11.1,15.8,90.4
2021/2022,Chicago Sky,36,202.1,32.7,67.9,.481,7.2,20.9,.345,25.4,46.9,.542,13.7,16.6,.823,7.2,27.6,34.8,24.3,7.3,4.3,13.8,16.2,86.3
2021/2022,Connecticut Sun,36,201.4,31.9,69.0,.462,6.4,18.0,.354,25.5,50.9,.500,15.7,19.9,.789,10.2,26.9,37.1,21.1,8.9,2.7,14.4,17.1,85.8
2021/2022,Dallas Wings,36,200.7,29.7,68.2,.435,7.8,22.6,.343,21.9,45.6,.480,15.9,20.8,.764,9.6,24.3,33.8,18.8,7.1,3.7,12.7,18.8,82.9
2021/2022,Seattle Storm,36,200.7,30.4,68.8,.442,9.3,25.6,.361,21.2,43.2,.490,12.4,15.1,.825,7.8,25.8,33.6,22.6,8.3,4.2,12.8,15.6,82.5
2021/2022,Minnesota Lynx,36,201.4,30.2,67.1,.450,6.8,19.6,.348,23.4,47.4,.493,15.2,19.4,.784,8.9,28.0,36.9,20.6,6.1,2.8,14.6,16.9,82.4
2021/2022,Phoenix Mercury,36,202.1,28.6,66.5,.429,8.8,26.7,.329,19.8,39.8,.497,15.2,18.6,.817,6.8,24.3,31.2,19.2,7.4,4.5,13.3,19.8,81.1
2021/2022,Washington Mystics,36,202.1,29.3,66.8,.439,7.6,22.5,.338,21.7,44.2,.491,14.0,17.9,.784,8.0,26.9,34.9,20.3,7.6,3.7,12.8,15.9,80.2
2021/2022,New York Liberty,36,202.1,28.8,66.8,.431,9.7,27.6,.351,19.1,39.1,.488,12.4,15.0,.823,7.0,27.3,34.3,20.7,6.1,4.1,14.6,18.2,79.6
2021/2022,Los Angeles Sparks,36,200.7,29.8,66.9,.446,5.4,16.9,.320,24.4,50.0,.489,14.4,18.3,.786,6.9,23.4,30.4,18.9,8.6,3.9,13.8,18.3,79.4
2021/2022,Atlanta Dream,36,201.4,28.8,68.4,.420,7.5,21.4,.351,21.2,47.0,.452,13.5,17.3,.777,8.6,26.8,35.4,17.6,7.8,3.1,15.2,19.5,78.5
2021/2022,Indiana Fever,36,201.4,28.4,69.4,.409,6.8,20.1,.338,21.6,49.3,.437,14.4,19.4,.746,9.8,23.5,33.3,18.0,7.2,3.6,15.1,20.0,78.0
