Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2019/2020,Milwaukee Bucks,73,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
2019/2020,Houston Rockets,72,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
2019/2020,Dallas Mavericks,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0
2019/2020,Los Angeles Clippers,72,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3
2019/2020,New Orleans Pelicans,72,242.1,42.6,91.6,.465,13.6,36.9,.370,28.9,54.8,.528,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8
2019/2020,Portland Trail Blazers,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0
2019/2020,Washington Wizards,72,241.0,41.5,90.9,.457,12.0,32.6,.368,29.5,58.3,.506,19.4,24.6,.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4
2019/2020,San Antonio Spurs,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
2019/2020,Boston Celtics,72,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7
2019/2020,Phoenix Suns,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6
2019/2020,Los Angeles Lakers,71,240.7,42.3,88.3,.480,11.0,31.6,.349,31.3,56.7,.552,17.7,24.3,.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
2019/2020,Minnesota Timberwolves,64,243.1,40.4,91.6,.441,13.3,39.7,.336,27.1,52.0,.521,19.1,25.4,.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
2019/2020,Toronto Raptors,72,241.4,40.2,87.9,.458,13.8,37.0,.374,26.4,50.9,.519,18.5,23.2,.796,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8
2019/2020,Memphis Grizzlies,73,240.7,42.5,90.9,.468,10.9,31.5,.347,31.6,59.4,.532,16.6,21.8,.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
2019/2020,Miami Heat,73,243.1,39.5,84.4,.468,13.4,35.4,.379,26.0,49.0,.532,19.7,25.2,.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0
2019/2020,Atlanta Hawks,67,243.0,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
2019/2020,Brooklyn Nets,72,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
2019/2020,Denver Nuggets,73,243.1,42.0,88.9,.473,11.0,30.6,.359,31.1,58.3,.533,16.2,20.9,.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3
2019/2020,Utah Jazz,72,241.0,40.1,85.1,.471,13.4,35.2,.380,26.7,49.9,.535,17.8,22.8,.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3
2019/2020,Philadelphia 76ers,73,241.0,41.1,87.9,.468,11.6,31.6,.368,29.5,56.3,.524,16.9,22.4,.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7
2019/2020,Oklahoma City Thunder,72,242.1,40.0,85.5,.468,10.7,30.2,.355,29.3,55.3,.529,19.8,24.8,.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4
2019/2020,Sacramento Kings,72,242.4,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1
2019/2020,Indiana Pacers,73,241.4,42.1,88.5,.476,10.2,28.0,.363,31.9,60.4,.529,15.0,19.1,.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4
2019/2020,Orlando Magic,73,240.7,39.3,88.6,.444,11.1,32.2,.343,28.3,56.4,.502,17.6,22.7,.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
2019/2020,Detroit Pistons,66,241.9,39.3,85.7,.459,12.0,32.7,.367,27.3,53.0,.515,16.6,22.4,.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2
2019/2020,Cleveland Cavaliers,65,241.9,40.3,87.9,.458,11.2,31.8,.351,29.1,56.1,.519,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
2019/2020,Chicago Bulls,65,241.2,39.6,88.6,.447,12.2,35.1,.348,27.4,53.5,.511,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
2019/2020,Golden State Warriors,65,241.9,38.6,88.2,.438,10.4,31.3,.334,28.2,56.9,.495,18.7,23.2,.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
2019/2020,New York Knicks,66,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
2019/2020,Charlotte Hornets,65,242.3,37.3,85.9,.434,12.1,34.3,.352,25.2,51.6,.489,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
2019/2020,Las Vegas Aces,22,200.0,32.7,68.7,.477,4.2,11.5,.368,28.5,57.2,.498,19.0,23.4,.815,8.1,29.3,37.4,20.7,7.8,3.0,12.2,15.0,88.7
2019/2020,Seattle Storm,22,200.0,31.9,67.8,.470,8.4,21.4,.394,23.5,46.4,.505,15.4,18.9,.817,7.6,26.8,34.4,21.9,10.0,4.0,13.2,16.5,87.5
2019/2020,Chicago Sky,22,200.0,33.5,68.2,.491,7.6,21.6,.351,25.9,46.5,.557,12.1,14.9,.817,7.3,26.3,33.6,21.8,7.5,4.0,14.9,18.0,86.7
2019/2020,Phoenix Mercury,22,201.1,30.2,67.0,.450,8.4,24.5,.343,21.8,42.5,.512,17.4,21.0,.825,7.5,26.5,34.0,20.4,6.8,5.6,14.0,19.7,86.1
2019/2020,Los Angeles Sparks,22,202.3,32.2,67.0,.481,7.2,18.1,.398,25.0,48.8,.511,13.3,16.8,.792,6.4,25.0,31.4,20.0,9.0,3.0,13.9,18.3,84.9
2019/2020,Minnesota Lynx,22,200.0,30.6,67.0,.456,8.3,21.5,.385,22.3,45.5,.490,15.0,18.3,.818,9.9,24.5,34.4,19.8,8.4,3.0,14.2,16.9,84.4
2019/2020,Dallas Wings,22,202.3,29.5,71.0,.415,8.9,27.6,.323,20.5,43.4,.474,15.6,19.1,.815,9.0,23.7,32.7,15.6,8.2,3.2,11.0,19.7,83.4
2019/2020,Indiana Fever,22,200.0,29.5,66.7,.441,6.9,20.0,.345,22.5,46.7,.482,15.9,19.4,.819,9.0,24.7,33.7,19.2,5.1,3.2,15.0,17.7,81.7
2019/2020,Atlanta Dream,22,202.3,31.4,71.0,.442,5.9,16.9,.350,25.5,54.2,.471,12.2,16.1,.758,9.0,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81.0
2019/2020,Connecticut Sun,22,201.1,29.7,69.5,.427,5.9,19.0,.311,23.8,50.5,.470,15.1,20.0,.755,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4
2019/2020,Washington Mystics,22,202.3,29.6,68.5,.433,8.3,24.4,.341,21.3,44.1,.483,12.4,15.0,.825,7.3,24.1,31.5,19.7,7.9,2.1,12.1,17.0,80.0
2019/2020,New York Liberty,22,200.0,24.5,66.0,.372,7.6,27.4,.277,17.0,38.6,.439,15.2,18.5,.823,8.0,27.8,35.8,14.9,6.3,4.3,16.8,19.1,71.9
2020/2021,Milwaukee Bucks,72,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
2020/2021,Brooklyn Nets,72,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
2020/2021,Washington Wizards,72,241.7,43.2,90.9,.475,10.2,29.0,.351,33.0,61.9,.533,20.1,26.2,.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6
2020/2021,Utah Jazz,72,241.0,41.3,88.1,.468,16.7,43.0,.389,24.5,45.1,.544,17.2,21.5,.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4
2020/2021,Portland Trail Blazers,72,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1
2020/2021,Phoenix Suns,72,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
2020/2021,Indiana Pacers,72,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
