Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
2001/2002,New York Knicks,30.3,30,52,29,53,-3.99,-0.16,-4.15,101.5,105.9,-4.4,89.7,.274,.206,.514,.468,14.0,25.6,.216,.479,12.9,71.9,.236,"810,283","19,763"
2001/2002,Atlanta Hawks,25.7,33,49,29,53,-4.23,-0.18,-4.41,101.8,106.4,-4.6,91.9,.294,.181,.517,.471,14.6,27.5,.225,.495,14.1,70.9,.218,"506,110","12,344"
2001/2002,Houston Rockets,25.9,28,54,27,55,-4.89,0.58,-4.31,103.1,108.6,-5.5,88.2,.286,.223,.507,.465,13.4,29.0,.211,.491,11.5,69.8,.178,"481,227","11,737"
2001/2002,Golden State Warriors,24.8,21,61,26,56,-5.40,0.61,-4.80,102.8,108.5,-5.7,94.5,.335,.142,.499,.452,14.7,35.3,.242,.488,12.9,69.4,.232,"593,182","14,468"
2001/2002,Denver Nuggets,28.2,27,55,24,58,-5.82,0.63,-5.19,101.4,107.8,-6.4,90.4,.256,.187,.495,.455,13.6,30.6,.190,.492,13.6,69.9,.245,"633,846","15,460"
2001/2002,Memphis Grizzlies,25.5,23,59,20,62,-7.44,0.70,-6.74,98.2,106.3,-8.1,91.1,.288,.168,.501,.462,15.4,27.8,.204,.486,13.7,68.0,.197,"591,030","14,415"
2001/2002,Chicago Bulls,25.5,21,61,18,64,-8.54,0.02,-8.52,98.2,107.6,-9.4,90.5,.302,.134,.499,.456,14.6,26.6,.218,.497,13.7,71.4,.239,"776,311","18,934"
2002/2003,Dallas Mavericks,28.1,60,22,62,20,7.78,0.12,7.90,110.7,102.3,+8.4,92.5,.257,.239,.543,.498,10.9,25.4,.213,.473,14.8,70.9,.221,"816,429","19,913"
2002/2003,Sacramento Kings,28.3,59,23,59,23,6.50,0.18,6.68,105.9,99.1,+6.8,95.4,.262,.184,.535,.499,13.3,25.6,.196,.446,13.6,70.6,.204,"709,997","17,317"
2002/2003,San Antonio Spurs,28.4,60,22,57,25,5.41,0.23,5.65,105.6,99.7,+5.9,90.0,.348,.202,.541,.497,15.1,28.8,.253,.453,14.2,71.3,.199,"735,970","17,950"
2002/2003,New Jersey Nets,27.3,49,33,56,26,5.22,-0.80,4.42,103.8,98.1,+5.7,91.6,.333,.158,.518,.468,13.8,28.7,.252,.460,15.7,73.1,.225,"622,574","15,185"
2002/2003,Detroit Pistons,29.0,50,32,52,30,3.68,-0.71,2.97,104.1,99.9,+4.2,86.8,.322,.237,.523,.473,13.3,25.9,.248,.461,13.9,74.0,.225,"839,278","20,470"
2002/2003,Indiana Pacers,25.9,48,34,51,31,3.49,-0.70,2.79,104.6,100.8,+3.8,91.6,.344,.169,.522,.469,13.7,29.0,.263,.458,14.3,72.3,.228,"670,461","16,353"
2002/2003,Portland Trail Blazers,29.2,50,32,49,33,2.61,0.36,2.97,105.5,102.6,+2.9,89.4,.300,.177,.531,.489,14.5,30.2,.223,.483,14.9,72.3,.194,"796,258","19,421"
2002/2003,Utah Jazz,30.9,47,35,48,34,2.39,0.37,2.76,105.5,102.8,+2.7,89.3,.380,.104,.537,.486,16.0,32.5,.283,.468,15.2,70.2,.256,"786,034","19,172"
2002/2003,Los Angeles Lakers,28.1,50,32,48,34,2.33,0.38,2.71,107.2,104.7,+2.5,92.5,.311,.199,.528,.486,13.3,30.2,.228,.477,13.4,72.7,.241,"777,888","18,973"
2002/2003,Philadelphia 76ers,28.3,48,34,48,34,2.30,-0.55,1.76,105.0,102.5,+2.5,91.4,.339,.119,.520,.466,13.7,30.3,.263,.488,16.2,72.7,.243,"807,097","19,685"
2002/2003,Minnesota Timberwolves,28.2,51,31,47,35,2.07,0.39,2.46,106.1,103.8,+2.3,91.9,.268,.118,.528,.488,12.9,28.2,.206,.472,12.7,72.9,.203,"643,684","15,700"
2002/2003,New Orleans Hornets,29.1,47,35,47,35,2.11,-0.59,1.52,103.9,101.6,+2.3,89.4,.285,.161,.511,.465,13.9,31.7,.219,.464,14.0,73.1,.226,"641,683","15,651"
2002/2003,Houston Rockets,25.9,43,39,46,36,1.48,0.42,1.89,104.3,102.6,+1.7,88.8,.316,.196,.522,.474,14.8,30.3,.243,.462,12.6,72.4,.209,"565,166","13,785"
2002/2003,Phoenix Suns,25.2,44,38,44,38,1.13,0.43,1.57,103.7,102.5,+1.2,91.5,.285,.170,.514,.473,13.7,29.7,.211,.470,14.8,70.3,.222,"666,559","16,258"
