Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,attendance,attendance_per_g
1949/1950,New York Knicks,,40,28,40,28,2.12,0.41,2.53,,,,,.449,,.428,.353,,,.320,,,,,,
1949/1950,Washington Capitols,,32,36,31,37,-0.94,0.66,-0.28,,,,,.384,,.405,.330,,,.287,,,,,,
1949/1950,Waterloo Hawks,,19,43,17,45,-5.53,-0.43,-5.96,,,,,.408,,.425,.356,,,.291,,,,,,
1949/1950,Tri-Cities Blackhawks,,29,35,30,34,-0.59,-0.84,-1.43,,,,,.418,,.407,.330,,,.304,,,,,,
1949/1950,Syracuse Nationals,,51,13,51,13,8.14,-1.70,6.48,,,,,.454,,.429,.354,,,.321,,,,,,
1949/1950,St. Louis Bombers,,26,42,25,43,-2.82,0.81,-2.01,,,,,.423,,.415,.342,,,.300,,,,,,
1949/1950,Sheboygan Red Skins,,22,40,18,44,-5.40,-0.44,-5.85,,,,,.466,,.422,.344,,,.329,,,,,,
1949/1950,Rochester Royals,,51,17,54,14,7.76,-0.05,7.72,,,,,.442,,.447,.373,,,.322,,,,,,
1949/1950,Philadelphia Warriors,,26,42,24,44,-3.10,0.84,-2.27,,,,,.357,,.377,.312,,,.250,,,,,,
1949/1950,Anderson Packers,,37,27,42,22,3.80,-1.38,2.42,,,,,.375,,.384,.311,,,.272,,,,,,
1949/1950,Minneapolis Lakers,,51,17,55,13,8.34,-0.09,8.25,,,,,.333,,.427,.367,,,.247,,,,,,
1949/1950,Indianapolis Olympians,,39,25,42,22,3.70,-1.15,2.59,,,,,.406,,.441,.375,,,.289,,,,,,
1949/1950,Fort Wayne Pistons,,40,28,38,30,1.37,0.47,1.84,,,,,.395,,.389,.318,,,.277,,,,,,
1949/1950,Denver Nuggets,,11,51,8,54,-11.50,0.18,-11.31,,,,,.386,,.397,.334,,,.261,,,,,,
1949/1950,Chicago Stags,,40,28,39,29,1.60,0.45,2.06,,,,,.328,,.397,.340,,,.228,,,,,,
1949/1950,Boston Celtics,,22,46,27,41,-2.50,0.79,-1.73,,,,,.376,,.404,.338,,,.266,,,,,"110,552",
1949/1950,Baltimore Bullets,,25,43,18,50,-5.59,1.04,-4.55,,,,,.385,,.385,.310,,,.281,,,,,,
1950/1951,Minneapolis Lakers,,44,24,49,19,5.41,-0.63,4.79,86.4,80.7,+5.7,94.8,.356,,.436,.373,,,.262,,,,,,
1950/1951,Philadelphia Warriors,,40,26,43,23,3.76,-0.36,3.40,84.8,81.0,+3.8,99.3,.385,,.425,.350,,,.294,,,,,,
1950/1951,Rochester Royals,,41,27,42,26,2.99,-0.44,2.54,89.3,86.2,+3.1,92.3,.418,,.452,.378,,,.315,,,,,,
1950/1951,Syracuse Nationals,,32,34,34,32,0.53,0.09,0.62,86.4,85.9,+0.5,98.1,.491,,.435,.351,,,.356,,,,,,
1950/1951,New York Knicks,,36,30,34,32,0.41,0.07,0.49,88.0,87.6,+0.4,94.8,.415,,.445,.379,,,.296,,,,,,
1950/1951,Boston Celtics,,39,30,34,35,-0.26,-0.15,-0.41,87.3,87.6,-0.3,95.9,.431,,.441,.368,,,.312,,,,,"197,888",
1950/1951,Fort Wayne Pistons,,32,36,29,39,-1.87,0.07,-1.81,82.0,83.8,-1.8,102.4,.403,,.410,.338,,,.290,,,,,,
1950/1951,Baltimore Bullets,,24,42,27,39,-2.29,0.35,-1.94,83.9,86.3,-2.4,96.8,.364,,.421,.353,,,.271,,,,,,
1950/1951,Indianapolis Olympians,,31,37,27,41,-2.37,0.37,-2.00,83.6,86.0,-2.4,96.4,.329,,.420,.363,,,.236,,,,,,
1950/1951,Tri-Cities Blackhawks,,25,43,24,44,-3.79,0.56,-3.22,80.8,84.4,-3.6,103.9,.401,,.403,.329,,,.290,,,,,,
1950/1951,Washington Capitols,,10,25,11,24,-4.77,0.14,-4.63,83.2,88.1,-4.9,97.1,.413,,.416,.334,,,.316,,,,,,
1951/1952,Minneapolis Lakers,25.9,40,26,49,17,6.03,-0.75,5.28,85.3,79.3,+6.0,97.2,.335,,.429,.367,,,.250,,,,,,
1951/1952,Syracuse Nationals,25.8,40,26,45,21,4.45,-0.52,3.94,89.2,84.6,+4.6,96.1,.497,,.451,.364,,,.371,,,,,,
1951/1952,Boston Celtics,24.9,39,27,43,23,4.08,-0.47,3.60,90.4,86.4,+4.0,100.0,.437,,.459,.387,,,.320,,,,,"160,167",
1951/1952,Rochester Royals,28.9,41,25,42,24,3.35,-0.43,2.92,91.6,88.1,+3.5,92.7,.416,,.465,.389,,,.321,,,,,,
1951/1952,New York Knicks,25.5,37,29,35,31,0.74,-0.07,0.67,88.7,87.9,+0.8,94.9,.414,,.449,.383,,,.296,,,,,,
1951/1952,Indianapolis Olympians,24.5,34,32,33,33,0.12,-0.04,0.08,85.2,85.1,+0.1,96.7,.356,,.429,.367,,,.258,,,,,,
1951/1952,Philadelphia Warriors,26.6,33,33,30,36,-1.26,0.17,-1.08,89.5,90.8,-1.3,95.5,.399,,.453,.380,,,.304,,,,,,
1951/1952,Fort Wayne Pistons,26.5,29,37,27,39,-2.05,0.22,-1.83,85.6,87.9,-2.3,90.1,.438,,.431,.353,,,.321,,,,,,
1951/1952,Baltimore Bullets,27.3,20,46,15,51,-7.50,0.92,-6.60,83.0,90.6,-7.6,97.3,.402,,.416,.342,,,.294,,,,,,
1951/1952,Milwaukee Hawks,26.6,17,49,13,53,-7.94,0.93,-7.04,80.4,89.1,-8.7,90.7,.431,,.402,.331,,,.294,,,,,,
1952/1953,Minneapolis Lakers,26.5,48,22,52,18,6.13,-0.59,5.54,90.1,83.6,+6.5,93.7,.400,,.457,.390,,,.295,,,,,,
1952/1953,New York Knicks,26.0,47,23,50,20,5.23,-0.84,4.39,90.5,85.0,+5.5,93.1,.497,,.460,.386,,,.350,,,,,,
1952/1953,Syracuse Nationals,25.8,47,24,48,23,4.31,-0.69,3.62,90.6,86.0,+4.6,92.8,.554,,.459,.364,,,.412,,,,,,
1952/1953,Rochester Royals,29.2,44,26,43,27,2.80,-0.18,2.62,89.8,86.9,+2.9,94.1,.506,,.455,.372,,,.369,,,,,,
1952/1953,Boston Celtics,25.4,46,25,42,29,2.37,-0.43,1.94,91.7,89.3,+2.4,94.7,.471,,.467,.392,,,.343,,,,,"161,808",
1952/1953,Fort Wayne Pistons,26.5,36,33,34,35,-0.12,0.29,0.17,87.6,87.7,-0.1,91.1,.476,,.442,.359,,,.352,,,,,,
1952/1953,Milwaukee Hawks,26.3,27,44,31,40,-1.51,0.51,-2.49,84.0,85.7,-1.7,88.4,.451,,.423,.352,,,.309,,,,,,
1952/1953,Indianapolis Olympians,25.5,28,43,27,44,-2.79,0.49,-2.30,84.9,88.0,-3.1,86.3,.438,,.427,.351,,,.315,,,,,,
1952/1953,Baltimore Bullets,26.3,16,54,18,52,-6.41,0.62,-5.80,86.8,93.4,-6.6,95.2,.453,,.439,.371,,,.311,,,,,,
1952/1953,Philadelphia Warriors,26.0,12,57,16,53,-7.20,0.91,-7.75,83.9,91.4,-7.5,94.7,.414,,.422,.358,,,.281,,,,,,
1953/1954,Syracuse Nationals,25.5,42,30,50,22,4.90,-0.64,4.27,88.2,83.0,+5.2,93.5,.475,,.446,.368,,,.341,,,,,,
1953/1954,Minneapolis Lakers,27.3,46,26,45,27,3.06,-0.35,2.71,86.8,83.5,+3.3,93.5,.356,,.438,.376,,,.261,,,,,,
1953/1954,Rochester Royals,29.2,44,28,44,28,2.43,-0.20,2.24,86.6,84.0,+2.6,90.9,.462,,.438,.369,,,.316,,,,,,
1953/1954,Boston Celtics,26.4,42,30,43,29,2.33,-0.32,1.97,92.5,90.0,+2.5,93.0,.457,,.471,.400,,,.332,,,,,"156,912",
1953/1954,Fort Wayne Pistons,26.8,40,32,41,31,1.63,-0.18,1.45,89.0,87.2,+1.8,86.9,.446,,.451,.376,,,.326,,,,,,
1953/1954,New York Knicks,27.1,44,28,36,36,-0.13,-0.02,-0.16,89.3,89.4,-0.1,87.4,.488,,.452,.374,,,.352,,,,,,
1953/1954,Philadelphia Warriors,24.8,29,43,29,43,-2.14,0.22,-1.89,86.7,89.0,-2.3,89.4,.418,,.438,.372,,,.292,,,,,,
1953/1954,Milwaukee Hawks,26.1,21,51,19,53,-5.29,0.75,-4.55,82.9,89.2,-6.3,84.2,.433,,.416,.345,,,.300,,,,,,
1953/1954,Baltimore Bullets,24.1,16,56,17,55,-6.76,0.79,-5.98,85.2,92.6,-7.4,91.3,.417,,.430,.368,,,.283,,,,,,
1954/1955,Fort Wayne Pistons,27.1,43,29,43,29,2.39,-0.38,2.01,91.2,88.9,+2.3,100.7,.453,,.464,.390,,,.332,,,,,,
1954/1955,Syracuse Nationals,26.2,43,29,40,32,1.39,-0.16,1.23,87.5,86.2,+1.3,103.6,.386,,.442,.372,,,.290,,,,,,
1954/1955,Minneapolis Lakers,26.8,40,32,39,33,1.17,-0.21,0.96,89.7,88.6,+1.1,105.5,.389,,.455,.388,,,.290,,,,,,
1954/1955,New York Knicks,27.1,38,34,36,36,0.08,0.03,0.11,90.2,90.1,+0.1,101.8,.422,,.458,.389,,,.307,,,,,,
1954/1955,Boston Celtics,26.7,36,36,36,36,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,.414,,.473,.399,,,.321,,,,,"175,675",
1954/1955,Philadelphia Warriors,25.2,33,39,35,37,-0.26,0.08,-0.19,89.6,89.9,-0.3,102.9,.421,,.454,.384,,,.309,,,,,,
1954/1955,Rochester Royals,29.0,29,43,32,40,-1.63,0.19,-1.43,90.7,92.3,-1.6,99.5,.402,,.461,.399,,,.289,,,,,,
1954/1955,Milwaukee Hawks,25.9,26,46,28,44,-3.04,0.40,-2.66,86.4,89.4,-3.0,100.5,.442,,.436,.362,,,.317,,,,,,
1954/1955,Baltimore Bullets,24.9,,,,,,,,,,,,,,,,,,,,,,,,
1955/1956,Philadelphia Warriors,25.6,45,27,46,26,4.26,-0.45,3.82,94.6,90.7,+3.9,108.5,.439,,.483,.410,,,.333,,,,,,
1955/1956,Fort Wayne Pistons,27.2,37,35,38,34,0.71,-0.26,0.45,90.7,90.0,+0.7,103.2,.442,,.461,.388,,,.324,,,,,,
1955/1956,Boston Celtics,26.9,39,33,38,34,0.65,0.07,0.72,92.2,91.7,+0.5,114.5,.403,,.469,.397,,,.310,,,,,"209,645",
1955/1956,Syracuse Nationals,26.1,35,37,36,36,0.01,0.16,0.17,88.0,88.0,0.0,108.5,.406,,.444,.370,,,.307,,,,,,
1955/1956,New York Knicks,26.8,35,37,35,37,-0.42,0.22,-0.20,92.4,92.8,-0.4,106.5,.456,,.470,.392,,,.343,,,,,,
1955/1956,Minneapolis Lakers,26.8,33,39,34,38,-0.89,-0.03,-0.92,91.5,92.4,-0.9,108.0,.401,,.464,.388,,,.316,,,,,,
1955/1956,St. Louis Hawks,25.7,33,39,32,40,-1.47,0.05,-1.42,87.6,88.9,-1.3,109.4,.417,,.443,.378,,,.293,,,,,,
1955/1956,Rochester Royals,25.2,31,41,29,43,-2.86,0.25,-2.61,85.3,87.9,-2.6,111.7,.373,,.430,.370,,,.261,,,,,,
1956/1957,Boston Celtics,27.0,44,28,49,23,5.36,-0.58,4.78,88.5,84.0,+4.5,118.0,.361,,.448,.383,,,.271,,,,,"262,918",
1956/1957,Philadelphia Warriors,26.7,37,35,40,32,1.58,-0.04,1.54,92.4,90.9,+1.5,108.0,.407,,.469,.396,,,.316,,,,,,
1956/1957,New York Knicks,27.0,36,36,36,36,-0.14,0.21,0.07,90.6,90.7,-0.1,110.5,.428,,.459,.387,,,.319,,,,,,
1956/1957,St. Louis Hawks,27.7,34,38,36,36,-0.08,-0.19,-0.27,89.0,89.1,-0.1,108.3,.406,,.451,.383,,,.296,,,,,,
1956/1957,Minneapolis Lakers,25.5,34,38,34,38,-0.81,-0.08,-0.89,88.5,89.2,-0.7,114.8,.416,,.447,.371,,,.315,,,,,,
1956/1957,Syracuse Nationals,25.7,38,34,32,40,-1.42,0.39,-1.03,88.3,89.5,-1.2,112.3,.378,,.445,.369,,,.300,,,,,,
1956/1957,Rochester Royals,23.4,31,41,30,42,-2.19,0.12,-2.08,84.9,86.9,-2.0,109.4,.353,,.428,.369,,,.249,,,,,,
1956/1957,Fort Wayne Pistons,26.7,34,38,30,42,-2.31,0.13,-2.18,88.8,91.0,-2.2,107.7,.380,,.450,.383,,,.283,,,,,,
1957/1958,Boston Celtics,27.6,49,23,48,24,5.50,-0.47,5.02,88.0,83.6,+4.4,124.8,.333,,.445,.387,,,.245,,,,,"240,943",
1957/1958,Syracuse Nationals,26.6,41,31,41,31,2.18,0.00,2.18,89.9,88.1,+1.8,119.1,.357,,.455,.385,,,.283,,,,,,
1957/1958,St. Louis Hawks,28.0,41,31,39,33,1.32,-0.50,0.82,89.7,88.6,+1.1,119.5,.425,,.455,.388,,,.304,,,,,,
1957/1958,New York Knicks,25.1,35,37,39,33,1.21,0.14,1.35,91.7,90.8,+0.9,121.5,.418,,.466,.395,,,.315,,,,,,
1957/1958,Philadelphia Warriors,26.8,37,35,36,36,-0.13,0.33,0.21,88.3,88.4,-0.1,117.8,.357,,.446,.380,,,.272,,,,,,
1957/1958,Cincinnati Royals,25.7,33,39,33,39,-1.36,-0.12,-1.47,86.5,87.6,-1.1,117.3,.323,,.437,.384,,,.230,,,,,,
1957/1958,Detroit Pistons,28.4,33,39,30,42,-2.35,0.02,-2.32,88.2,90.1,-1.9,118.8,.380,,.445,.376,,,.287,,,,,,
1957/1958,Minneapolis Lakers,25.9,19,53,22,50,-6.38,0.60,-5.78,88.0,93.3,-5.3,118.8,.418,,.444,.370,,,.312,,,,,,
1958/1959,Boston Celtics,27.1,52,20,50,22,6.49,-0.65,5.84,89.5,84.5,+5.0,128.7,.316,,.453,.395,,,.242,,,,,"244,642",
1958/1959,Syracuse Nationals,26.2,35,37,45,27,4.04,-0.30,3.74,92.5,89.2,+3.3,121.0,.353,,.471,.407,,,.273,,,,,,
1958/1959,St. Louis Hawks,28.1,49,23,45,27,3.69,-0.81,2.89,93.3,90.1,+3.2,115.6,.393,,.476,.410,,,.295,,,,,,
1958/1959,New York Knicks,25.7,40,32,37,35,0.25,0.24,0.49,93.0,92.7,+0.3,118.0,.391,,.473,.399,,,.309,,,,,,
1958/1959,Detroit Pistons,27.5,28,44,33,39,-1.28,-0.10,-1.36,88.4,89.4,-1.0,117.8,.360,,.447,.385,,,.266,,,,,,
1958/1959,Minneapolis Lakers,25.7,33,39,33,39,-1.33,-0.09,-1.42,90.8,91.9,-1.1,115.5,.384,,.461,.392,,,.292,,,,,,
1958/1959,Philadelphia Warriors,26.9,32,40,29,43,-3.00,0.71,-2.29,86.7,89.3,-2.6,118.4,.327,,.438,.381,,,.240,,,,,,
1958/1959,Cincinnati Royals,23.7,19,53,17,55,-8.88,0.99,-7.89,87.5,95.0,-7.5,116.4,.324,,.443,.389,,,.233,,,,,,
1959/1960,Boston Celtics,27.5,59,16,54,21,8.32,-0.70,7.62,91.0,84.9,+6.1,136.3,.281,,.463,.417,,,.206,,,,,"209,374",
1959/1960,St. Louis Hawks,27.6,46,29,44,31,2.71,-0.93,1.77,94.0,91.8,+2.2,120.0,.381,,.481,.419,,,.283,,,,,,
1959/1960,Syracuse Nationals,27.0,45,30,43,32,2.63,0.15,2.77,93.1,91.0,+2.1,127.2,.323,,.474,.414,,,.256,,,,,,
1959/1960,Philadelphia Warriors,26.2,49,26,43,32,2.63,0.15,2.77,88.7,86.8,+1.9,133.3,.310,,.451,.409,,,.207,,,,,,
1959/1960,New York Knicks,26.4,27,48,32,43,-2.31,0.87,-1.43,93.0,94.9,-1.9,125.9,.311,,.475,.421,,,.238,,,,,,
1959/1960,Detroit Pistons,27.1,30,45,30,45,-3.43,-0.03,-3.45,89.8,92.6,-2.8,123.1,.359,,.456,.397,,,.262,,,,,,
1959/1960,Minneapolis Lakers,25.5,25,50,28,47,-4.23,0.09,-4.14,87.7,91.2,-3.5,121.2,.341,,.444,.386,,,.249,,,,,,
1959/1960,Cincinnati Royals,25.0,19,56,24,51,-6.32,0.40,-5.92,91.3,96.5,-5.2,121.6,.343,,.465,.412,,,.246,,,,,,
1960/1961,Boston Celtics,28.3,57,22,52,27,5.66,-0.72,4.94,88.7,84.5,+4.2,134.4,.302,,.449,.398,,,.222,,,,,"201,569",
1960/1961,St. Louis Hawks,27.4,51,28,48,31,3.56,-0.57,2.99,91.4,88.7,+2.7,129.1,.332,,.465,.411,,,.244,,,,,,
1960/1961,Syracuse Nationals,26.7,38,41,44,35,2.15,-0.22,1.93,93.6,91.9,+1.7,129.1,.337,,.477,.418,,,.260,,,,,,
1960/1961,Philadelphia Warriors,27.0,46,33,42,37,0.94,-0.05,0.89,91.2,90.5,+0.7,132.0,.350,,.466,.424,,,.228,,,,,,
1960/1961,Los Angeles Lakers,25.2,36,43,39,40,-0.05,-0.06,-0.11,90.8,90.9,-0.1,124.9,.356,,.462,.403,,,.261,,,,,"151,344",
1960/1961,Detroit Pistons,25.8,34,45,34,45,-2.38,0.27,-2.11,93.8,95.6,-1.8,126.0,.388,,.479,.417,,,.288,,,,,,
1960/1961,Cincinnati Royals,24.4,33,46,32,47,-3.46,0.42,-3.04,95.6,98.4,-2.8,122.8,.333,,.490,.438,,,.249,,,,,,
1960/1961,New York Knicks,26.2,21,58,25,54,-6.42,0.99,-5.43,91.9,97.1,-5.2,122.9,.340,,.468,.410,,,.256,,,,,,
1961/1962,Boston Celtics,27.9,60,20,60,20,9.24,-0.98,8.25,92.1,85.1,+7.0,130.8,.298,,.470,.423,,,.217,,,,,"191,855",
1961/1962,Philadelphia Warriors,26.5,49,31,46,34,2.78,-0.14,2.63,94.5,92.4,+2.1,131.1,.359,,.485,.439,,,.247,,,,,,
1961/1962,Syracuse Nationals,26.9,41,39,45,35,2.31,-0.07,2.24,93.4,91.6,+1.8,128.8,.325,,.476,.418,,,.253,,,,,,
1961/1962,Los Angeles Lakers,25.9,54,26,45,35,2.20,-0.40,1.80,95.0,93.3,+1.7,123.3,.390,,.487,.427,,,.286,,,,,"190,321",
1961/1962,Cincinnati Royals,25.0,43,37,44,36,1.76,-0.48,1.28,98.3,96.9,+1.4,124.9,.353,,.506,.452,,,.265,,,,,,
1961/1962,Detroit Pistons,26.0,37,43,36,44,-1.69,-0.03,-1.72,92.8,94.2,-1.4,124.1,.376,,.474,.415,,,.274,,,,,,
1961/1962,St. Louis Hawks,27.4,29,51,32,48,-3.28,0.31,-2.96,95.2,97.8,-2.6,124.6,.347,,.487,.430,,,.263,,,,,,
1961/1962,New York Knicks,26.0,29,51,29,51,-4.84,0.86,-3.98,91.2,95.0,-3.8,125.6,.310,,.465,.418,,,.220,,,,,,
1961/1962,Chicago Packers,25.8,18,62,21,59,-8.49,0.94,-7.54,90.0,96.9,-6.9,122.9,.345,,.458,.412,,,.232,,,,,,
1962/1963,Boston Celtics,28.3,58,22,56,24,7.18,-0.80,6.38,93.0,87.4,+5.6,127.3,.316,,.475,.427,,,.229,,,,,"262,581",
1962/1963,Syracuse Nationals,26.7,48,32,49,31,3.79,-0.39,3.40,98.4,95.3,+3.1,123.3,.362,,.506,.445,,,.283,,,,,,
1962/1963,Los Angeles Lakers,26.2,53,27,48,32,3.13,-0.46,2.67,97.4,94.7,+2.7,117.8,.369,,.500,.441,,,.281,,,,,"285,462",
1962/1963,St. Louis Hawks,26.1,48,32,45,35,1.78,-0.39,1.38,94.8,93.3,+1.5,115.6,.362,,.486,.431,,,.264,,,,,,
1962/1963,Cincinnati Royals,26.0,42,38,43,37,1.26,-0.03,1.24,99.4,98.3,+1.1,119.0,.365,,.513,.459,,,.273,,,,,,
1962/1963,San Francisco Warriors,25.7,31,49,35,45,-2.09,0.22,-1.86,95.2,96.8,-1.6,123.2,.331,,.490,.450,,,.221,,,,,,
1962/1963,Detroit Pistons,24.9,34,46,31,49,-3.70,0.32,-3.38,94.2,97.3,-3.1,120.3,.348,,.482,.432,,,.250,,,,,,
1962/1963,Chicago Zephyrs,25.3,25,55,30,50,-4.09,0.45,-3.63,97.5,101.1,-3.6,112.2,.395,,.503,.453,,,.276,,,,,,
1962/1963,New York Knicks,27.7,21,59,23,57,-7.25,1.06,-6.20,93.5,99.7,-6.2,117.5,.347,,.479,.429,,,.246,,,,,,
1963/1964,Boston Celtics,28.4,59,21,59,21,7.90,-0.97,6.93,90.1,83.8,+6.3,125.0,.284,,.458,.413,,,.206,,,,,"223,347",
1963/1964,Cincinnati Royals,26.0,55,25,52,28,5.08,-0.65,4.43,98.9,94.5,+4.4,115.9,.364,,.510,.453,,,.277,,,,,,
1963/1964,San Francisco Warriors,25.5,48,32,53,27,5.11,-0.73,4.41,93.0,88.6,+4.4,115.1,.363,,.477,.438,,,.231,,,,,,
1963/1964,St. Louis Hawks,27.5,46,34,44,36,1.60,-0.21,1.39,95.4,94.0,+1.4,114.6,.359,,.488,.430,,,.272,,,,,,
1963/1964,Los Angeles Lakers,26.3,42,38,43,37,1.03,-0.14,0.87,97.9,97.0,+0.9,111.6,.391,,.503,.440,,,.300,,,,,"322,331",
1963/1964,Baltimore Bullets,25.0,31,49,36,44,-1.79,0.20,-1.59,95.0,96.6,-1.6,117.0,.376,,.488,.440,,,.259,,,,,,
1963/1964,Philadelphia 76ers,27.4,34,46,30,50,-4.39,0.64,-3.75,93.8,97.5,-3.7,119.4,.351,,.479,.418,,,.269,,,,,,
1963/1964,New York Knicks,25.7,22,58,24,56,-6.81,0.90,-5.91,95.4,101.2,-5.8,117.1,.362,,.491,.445,,,.247,,,,,,
1963/1964,Detroit Pistons,25.5,23,57,22,58,-7.73,0.95,-6.77,92.5,99.1,-6.6,115.9,.338,,.472,.421,,,.243,,,,,,
1964/1965,Boston Celtics,28.3,62,18,60,20,8.41,-0.93,7.46,90.9,84.2,+6.7,123.6,.300,,.463,.414,,,.220,,,,,"246,529",
1964/1965,St. Louis Hawks,27.1,45,35,48,32,3.03,-0.34,2.68,94.5,91.8,+2.7,115.1,.382,,.483,.424,,,.281,,,,,,
1964/1965,Cincinnati Royals,26.5,48,32,46,34,2.28,-0.26,2.04,98.0,96.0,+2.0,115.8,.368,,.504,.447,,,.278,,,,,,
1964/1965,Los Angeles Lakers,26.4,49,31,45,35,1.91,-0.21,1.70,97.4,95.8,+1.6,113.9,.391,,.500,.437,,,.298,,,,,"392,004",
1964/1965,Philadelphia 76ers,27.6,40,40,40,40,-0.15,0.02,-0.13,94.1,94.2,-0.1,119.1,.375,,.481,.422,,,.277,,,,,,
1964/1965,Baltimore Bullets,26.1,37,43,35,45,-2.21,0.25,-1.97,96.8,98.7,-1.9,116.2,.407,,.498,.442,,,.290,,,,,,
1964/1965,Detroit Pistons,24.4,31,49,31,49,-3.41,0.38,-3.03,90.5,93.3,-2.8,119.2,.306,,.461,.418,,,.211,,,,,,
1964/1965,New York Knicks,25.5,31,49,31,49,-3.66,0.41,-3.26,93.2,96.4,-3.2,113.5,.343,,.477,.426,,,.244,,,,,,
1964/1965,San Francisco Warriors,25.6,17,63,25,55,-6.19,0.69,-5.49,87.7,92.8,-5.1,119.7,.345,,.446,.403,,,.221,,,,,,
1965/1966,Boston Celtics,28.8,54,26,52,28,4.89,-0.54,4.34,92.3,88.3,+4.0,122.0,.330,,.470,.417,,,.244,,,,,"246,189",
1965/1966,Philadelphia 76ers,26.5,55,25,51,29,4.68,-0.52,4.16,95.3,91.5,+3.8,122.8,.384,,.490,.446,,,.255,,,,,,
1965/1966,Los Angeles Lakers,26.5,45,35,47,33,3.10,-0.34,2.76,98.3,95.7,+2.6,121.2,.377,,.505,.444,,,.291,,,,,"426,467",
1965/1966,Cincinnati Royals,26.8,45,35,43,37,1.16,-0.13,1.03,97.5,96.5,+1.0,120.4,.358,,.501,.444,,,.271,,,,,,
1965/1966,St. Louis Hawks,27.4,36,44,39,41,-0.56,0.06,-0.50,95.6,96.1,-0.5,116.6,.366,,.490,.431,,,.275,,,,,,
1965/1966,Baltimore Bullets,27.8,38,42,37,43,-1.19,0.13,-1.06,95.8,96.8,-1.0,123.1,.388,,.492,.438,,,.276,,,,,,
1965/1966,New York Knicks,25.4,30,50,34,46,-2.60,0.29,-2.31,97.8,99.9,-2.1,118.9,.389,,.504,.450,,,.280,,,,,,
1965/1966,San Francisco Warriors,25.6,35,45,34,46,-2.65,0.29,-2.36,92.6,94.8,-2.2,124.6,.338,,.473,.418,,,.250,,,,,,"2,436"
1965/1966,Detroit Pistons,25.0,22,58,24,56,-6.83,0.76,-6.07,89.4,94.9,-5.5,123.4,.322,,.455,.409,,,.221,,,,,,
1966/1967,Philadelphia 76ers,27.0,68,13,61,20,9.44,-0.94,8.50,101.5,93.9,+7.6,122.9,.421,,.528,.483,,,.286,,,,,,
1966/1967,Boston Celtics,29.6,60,21,59,22,8.05,-0.81,7.24,97.5,91.0,+6.5,121.2,.356,,.502,.447,,,.266,,,,,"322,690",
1966/1967,San Francisco Warriors,25.3,44,37,47,34,2.86,-0.29,2.58,95.3,93.1,+2.2,127.4,.343,,.488,.433,,,.259,,,,,,
1966/1967,Los Angeles Lakers,27.1,36,45,41,40,0.35,-0.04,0.31,97.4,97.1,+0.3,123.0,.345,,.501,.447,,,.259,,,,,"435,008",
1966/1967,Cincinnati Royals,26.4,39,42,40,41,-0.26,0.03,-0.23,98.4,98.6,-0.2,118.6,.345,,.506,.449,,,.268,,,,,,
1966/1967,St. Louis Hawks,26.7,39,42,37,44,-1.60,0.16,-1.44,96.1,97.4,-1.3,117.7,.372,,.494,.443,,,.264,,,,,,
1966/1967,New York Knicks,25.2,36,45,33,48,-3.05,0.31,-2.74,97.9,100.5,-2.6,118.5,.371,,.505,.453,,,.268,,,,,,
1966/1967,Chicago Bulls,25.6,33,48,31,50,-3.74,0.37,-3.37,92.3,95.4,-3.1,122.2,.327,,.471,.419,,,.240,,,,,,
1966/1967,Detroit Pistons,25.2,30,51,27,54,-5.53,0.55,-4.98,90.9,95.4,-4.5,121.5,.319,,.463,.412,,,.231,,,,,,
1966/1967,Baltimore Bullets,27.5,20,61,26,55,-6.52,0.65,-5.87,93.4,98.6,-5.2,123.0,.323,,.477,.427,,,.236,,,,,,
1967/1968,Philadelphia 76ers,27.6,62,20,60,22,8.60,-0.64,7.96,98.1,91.2,+6.9,124.3,.397,,.509,.471,,,.252,,,,,,
1967/1968,Los Angeles Lakers,27.8,52,30,54,28,5.61,-0.62,4.99,101.7,97.0,+4.7,118.1,.391,,.528,.477,,,.284,,,,,"421,326",
1967/1968,Boston Celtics,29.5,54,28,51,31,4.11,-0.24,3.87,95.7,92.4,+3.3,121.1,.356,,.492,.440,,,.257,,,,,"320,788",
1967/1968,St. Louis Hawks,26.9,56,26,48,34,2.73,-0.36,2.37,98.4,96.0,+2.4,113.7,.401,,.507,.451,,,.291,,,,,,
1967/1968,New York Knicks,25.6,43,39,46,36,1.82,-0.04,1.78,98.1,96.5,+1.6,117.2,.377,,.506,.456,,,.268,,,,,,
1967/1968,Baltimore Bullets,26.7,36,46,40,42,-0.39,0.16,-0.23,96.2,96.6,-0.4,121.5,.355,,.494,.438,,,.266,,,,,,
1967/1968,San Francisco Warriors,26.2,43,39,40,42,-0.60,-0.07,-0.66,94.1,94.6,-0.5,123.6,.367,,.481,.423,,,.272,,,,,,
1967/1968,Cincinnati Royals,28.0,39,43,39,43,-0.84,0.20,-0.64,101.1,101.8,-0.7,114.6,.368,,.523,.468,,,.280,,,,,,
