Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
1999/2000,NBA,Golden State Warriors,19,63,.232,48.0,95.5,103.8,No
1999/2000,NBA,Los Angeles Clippers,15,67,.183,52.0,92.0,103.5,No
1999/2000,WNBA,New York Liberty,20,12,.625,—,67.1,63.6,Yes
1999/2000,WNBA,Cleveland Rockers,17,15,.531,3.0,68.3,66.3,Yes
1999/2000,WNBA,Orlando Miracle,16,16,.500,4.0,69.0,69.8,Yes
1999/2000,WNBA,Washington Mystics,14,18,.438,6.0,68.0,69.4,Yes
1999/2000,WNBA,Detroit Shock,14,18,.438,6.0,72.8,75.8,No
1999/2000,WNBA,Miami Sol,13,19,.406,7.0,57.2,62.5,No
1999/2000,WNBA,Indiana Fever,9,23,.281,11.0,69.2,71.6,No
1999/2000,WNBA,Charlotte Sting,8,24,.250,12.0,68.3,75.9,No
1999/2000,WNBA,Los Angeles Sparks,28,4,.875,—,75.5,67.8,Yes
1999/2000,WNBA,Houston Comets,27,5,.844,1.0,77.3,64.6,Yes
1999/2000,WNBA,Sacramento Monarchs,21,11,.656,7.0,73.2,68.0,Yes
1999/2000,WNBA,Phoenix Mercury,20,12,.625,8.0,70.1,65.7,Yes
1999/2000,WNBA,Utah Starzz,18,14,.563,10.0,75.4,75.2,No
1999/2000,WNBA,Minnesota Lynx,15,17,.469,13.0,68.5,68.4,No
1999/2000,WNBA,Portland Fire,10,22,.313,18.0,67.3,72.0,No
1999/2000,WNBA,Seattle Storm,6,26,.188,22.0,56.9,67.8,No
2009/2010,NBA,Boston Celtics,50,32,.610,—,99.2,95.6,Yes
2009/2010,NBA,Toronto Raptors,40,42,.488,10.0,104.1,105.9,No
2009/2010,NBA,New York Knicks,29,53,.354,21.0,102.1,105.9,No
2009/2010,NBA,Philadelphia 76ers,27,55,.329,23.0,97.7,101.6,No
2009/2010,NBA,New Jersey Nets,12,70,.146,38.0,92.4,101.5,No
2009/2010,NBA,Cleveland Cavaliers,61,21,.744,—,102.1,95.6,Yes
2009/2010,NBA,Milwaukee Bucks,46,36,.561,15.0,97.7,96.0,Yes
2009/2010,NBA,Chicago Bulls,41,41,.500,20.0,97.5,99.1,Yes
2009/2010,NBA,Indiana Pacers,32,50,.390,29.0,100.8,103.8,No
2009/2010,NBA,Detroit Pistons,27,55,.329,34.0,94.0,99.1,No
2009/2010,NBA,Orlando Magic,59,23,.720,—,102.8,95.3,Yes
2009/2010,NBA,Atlanta Hawks,53,29,.646,6.0,101.7,97.0,Yes
2009/2010,NBA,Miami Heat,47,35,.573,12.0,96.5,94.2,Yes
2009/2010,NBA,Charlotte Bobcats,44,38,.537,15.0,95.3,93.8,Yes
2009/2010,NBA,Washington Wizards,26,56,.317,33.0,96.2,101.0,No
2009/2010,NBA,Denver Nuggets,53,29,.646,—,106.5,102.4,Yes
2009/2010,NBA,Utah Jazz,53,29,.646,—,104.2,98.9,Yes
2009/2010,NBA,Portland Trail Blazers,50,32,.610,3.0,98.1,94.8,Yes
2009/2010,NBA,Oklahoma City Thunder,50,32,.610,3.0,101.5,98.0,Yes
2009/2010,NBA,Minnesota Timberwolves,15,67,.183,38.0,98.2,107.8,No
2009/2010,NBA,Los Angeles Lakers,57,25,.695,—,101.7,97.0,Yes
2009/2010,NBA,Phoenix Suns,54,28,.659,3.0,110.2,105.3,Yes
2009/2010,NBA,Los Angeles Clippers,29,53,.354,28.0,95.7,102.1,No
2009/2010,NBA,Golden State Warriors,26,56,.317,31.0,108.8,112.4,No
2009/2010,NBA,Sacramento Kings,25,57,.305,32.0,100.0,104.4,No
2009/2010,NBA,Dallas Mavericks,55,27,.671,—,102.0,99.3,Yes
2009/2010,NBA,San Antonio Spurs,50,32,.610,5.0,101.4,96.3,Yes
2009/2010,NBA,Houston Rockets,42,40,.512,13.0,102.4,102.7,No
2009/2010,NBA,Memphis Grizzlies,40,42,.488,15.0,102.5,104.0,No
2009/2010,NBA,New Orleans Hornets,37,45,.451,18.0,100.2,102.7,No
2009/2010,WNBA,New York Liberty,22,12,.647,—,79.2,76.0,Yes
2009/2010,WNBA,Washington Mystics,22,12,.647,—,76.9,73.3,Yes
2009/2010,WNBA,Indiana Fever,21,13,.618,1.0,78.3,74.1,Yes
2009/2010,WNBA,Atlanta Dream,19,15,.559,3.0,85.4,83.1,Yes
2009/2010,WNBA,Connecticut Sun,17,17,.500,5.0,81.0,79.9,No
2009/2010,WNBA,Chicago Sky,14,20,.412,8.0,76.1,76.8,No
2009/2010,WNBA,Seattle Storm,28,6,.824,—,81.8,73.9,Yes
2009/2010,WNBA,Phoenix Mercury,15,19,.441,13.0,93.9,93.8,Yes
2009/2010,WNBA,San Antonio Silver Stars,14,20,.412,14.0,76.8,80.1,Yes
2009/2010,WNBA,Los Angeles Sparks,13,21,.382,15.0,77.9,81.2,Yes
2009/2010,WNBA,Minnesota Lynx,13,21,.382,15.0,78.7,82.1,No
2009/2010,WNBA,Tulsa Shock,6,28,.176,22.0,78.0,89.8,No
