Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1949/1950,Anderson Packers,64,,30.4,97.7,.311,,,,30.4,97.7,.311,26.6,36.6,.727,,,,19.4,,,,28.2,87.3
1949/1950,Indianapolis Olympians,64,,31.0,82.5,.375,,,,31.0,82.5,.375,23.9,33.5,.713,,,,21.0,,,,26.2,85.8
1949/1950,Syracuse Nationals,64,,29.2,82.4,.354,,,,29.2,82.4,.354,26.4,37.4,.706,,,,23.0,,,,28.6,84.8
1949/1950,Minneapolis Lakers,68,,31.5,85.8,.367,,,,31.5,85.8,.367,21.2,28.6,.741,,,,20.7,,,,24.6,84.1
1949/1950,Tri-Cities Blackhawks,64,,28.4,86.2,.330,,,,28.4,86.2,.330,26.2,36.1,.727,,,,20.8,,,,32.1,83.0
1949/1950,Rochester Royals,68,,28.8,77.2,.373,,,,28.8,77.2,.373,24.9,34.1,.729,,,,20.3,,,,23.3,82.4
1949/1950,Sheboygan Red Skins,62,,27.9,81.0,.344,,,,27.9,81.0,.344,26.7,37.7,.707,,,,20.6,,,,28.5,82.4
1949/1950,New York Knicks,68,,27.8,78.7,.353,,,,27.8,78.7,.353,25.1,35.4,.711,,,,19.2,,,,25.3,80.7
1949/1950,Boston Celtics,68,,28.6,84.6,.338,,,,28.6,84.6,.338,22.5,31.8,.707,,,,21.7,,,,24.2,79.7
1949/1950,Waterloo Hawks,62,,28.2,79.1,.356,,,,28.2,79.1,.356,23.0,32.3,.714,,,,21.4,,,,28.7,79.4
1949/1950,Fort Wayne Pistons,68,,27.6,86.8,.318,,,,27.6,86.8,.318,24.0,34.3,.701,,,,20.1,,,,30.4,79.3
1949/1950,Chicago Stags,68,,29.5,86.6,.340,,,,29.5,86.6,.340,19.8,28.4,.696,,,,20.1,,,,29.1,78.7
1949/1950,Denver Nuggets,62,,27.9,83.6,.334,,,,27.9,83.6,.334,21.9,32.2,.678,,,,16.8,,,,27.3,77.7
1949/1950,Washington Capitols,68,,26.7,80.8,.330,,,,26.7,80.8,.330,23.2,31.0,.746,,,,15.5,,,,27.0,76.5
1949/1950,St. Louis Bombers,68,,25.6,74.8,.342,,,,25.6,74.8,.342,22.5,31.6,.711,,,,18.9,,,,23.5,73.7
1949/1950,Philadelphia Warriors,68,,26.2,84.0,.312,,,,26.2,84.0,.312,21.0,30.0,.700,,,,16.8,,,,26.0,73.3
1949/1950,Baltimore Bullets,68,,25.2,81.1,.310,,,,25.2,81.1,.310,22.8,31.2,.730,,,,17.5,,,,26.4,73.1
1959/1960,Boston Celtics,75,,49.9,119.6,.417,,,,49.9,119.6,.417,24.7,33.6,.734,,,80.2,24.7,,,,24.7,124.5
1959/1960,Syracuse Nationals,75,,45.4,109.8,.414,,,,45.4,109.8,.414,28.1,35.5,.791,,,72.1,22.3,,,,25.9,118.9
1959/1960,Philadelphia Warriors,75,,47.3,115.7,.409,,,,47.3,115.7,.409,24.0,35.8,.669,,,78.9,23.9,,,,22.9,118.6
1959/1960,New York Knicks,75,,45.7,108.7,.421,,,,45.7,108.7,.421,25.9,33.9,.765,,,70.0,22.2,,,,25.9,117.3
1959/1960,St. Louis Hawks,75,,42.4,101.1,.419,,,,42.4,101.1,.419,28.6,38.5,.745,,,71.2,25.1,,,,26.6,113.4
1959/1960,Detroit Pistons,75,,41.9,105.6,.397,,,,41.9,105.6,.397,27.7,38.0,.729,,,73.2,19.6,,,,26.4,111.6
1959/1960,Cincinnati Royals,75,,42.8,103.8,.412,,,,42.8,103.8,.412,25.5,35.6,.716,,,70.0,23.3,,,,28.0,111.1
1959/1960,Minneapolis Lakers,75,,40.5,105.1,.386,,,,40.5,105.1,.386,26.2,35.9,.730,,,72.4,19.3,,,,24.2,107.3
1969/1970,Philadelphia 76ers,82,240.9,47.7,101.8,.469,,,,47.7,101.8,.469,26.4,35.2,.752,,,54.4,25.9,,,,26.8,121.9
1969/1970,Baltimore Bullets,82,242.7,47.9,104.5,.458,,,,47.9,104.5,.458,25.0,32.3,.773,,,57.1,22.9,,,,23.1,120.7
1969/1970,Phoenix Suns,82,241.5,44.8,95.8,.468,,,,44.8,95.8,.468,29.7,39.9,.744,,,51.0,25.3,,,,26.6,119.3
1969/1970,Milwaukee Bucks,82,241.2,47.8,98.1,.488,,,,47.8,98.1,.488,23.1,31.6,.732,,,53.9,26.4,,,,24.0,118.8
1969/1970,San Diego Rockets,82,241.2,47.1,108.1,.436,,,,47.1,108.1,.436,24.4,33.3,.733,,,58.4,24.8,,,,25.6,118.7
1969/1970,Atlanta Hawks,82,241.2,46.5,96.4,.483,,,,46.5,96.4,.483,24.5,32.5,.754,,,51.3,26.1,,,,24.6,117.6
1969/1970,Cincinnati Royals,82,242.4,45.9,100.9,.455,,,,45.9,100.9,.455,25.4,34.6,.733,,,50.8,24.3,,,,27.0,117.3
1969/1970,Seattle SuperSonics,82,241.2,45.2,97.9,.462,,,,45.2,97.9,.462,26.5,34.8,.761,,,52.6,27.0,,,,26.5,116.9
1969/1970,New York Knicks,82,240.6,46.4,97.3,.477,,,,46.4,97.3,.477,22.2,30.3,.733,,,48.9,26.0,,,,24.6,115.0
1969/1970,Boston Celtics,82,241.2,44.5,100.4,.443,,,,44.5,100.4,.443,26.0,33.1,.786,,,52.9,22.9,,,,28.3,114.9
1969/1970,Chicago Bulls,82,242.4,44.0,99.2,.444,,,,44.0,99.2,.444,26.9,34.9,.772,,,53.5,26.0,,,,22.7,114.9
1969/1970,Los Angeles Lakers,82,241.8,44.7,97.0,.461,,,,44.7,97.0,.461,24.3,32.2,.754,,,50.7,24.8,,,,23.1,113.7
1969/1970,Detroit Pistons,82,242.1,43.5,93.4,.466,,,,43.5,93.4,.466,25.8,35.1,.734,,,46.7,20.8,,,,23.5,112.8
1969/1970,San Francisco Warriors,82,241.8,43.4,100.3,.432,,,,43.4,100.3,.432,24.4,32.3,.757,,,58.2,22.7,,,,25.0,111.1
1979/1980,San Antonio Spurs,82,240.9,47.0,94.4,.498,0.6,2.5,.252,46.4,91.9,.505,24.7,30.8,.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4
1979/1980,Los Angeles Lakers,82,242.4,47.5,89.9,.529,0.2,1.2,.200,47.3,88.6,.534,19.8,25.5,.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1
1979/1980,Cleveland Cavaliers,82,243.0,46.5,98.1,.474,0.4,2.3,.193,46.0,95.8,.481,20.8,26.9,.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1
1979/1980,New York Knicks,82,241.2,46.4,93.6,.496,0.5,2.3,.220,45.9,91.2,.503,20.7,27.7,.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0
1979/1980,Boston Celtics,82,242.4,44.1,90.1,.490,2.0,5.1,.384,42.1,84.9,.496,23.3,29.9,.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5
1979/1980,Indiana Pacers,82,242.1,44.4,93.8,.473,1.1,3.8,.280,43.3,89.9,.481,21.4,28.5,.751,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2
1979/1980,Phoenix Suns,82,240.9,43.5,88.2,.493,0.8,3.4,.243,42.7,84.8,.504,23.2,30.1,.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1
1979/1980,Houston Rockets,82,243.0,43.9,91.4,.480,1.3,4.6,.274,42.6,86.8,.491,21.7,28.4,.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8
1979/1980,Milwaukee Bucks,82,241.5,44.9,92.1,.488,0.6,1.9,.323,44.3,90.2,.491,19.6,25.6,.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1
1979/1980,Philadelphia 76ers,82,242.1,43.0,87.3,.492,0.3,1.5,.216,42.6,85.7,.497,22.9,29.6,.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1
1979/1980,Detroit Pistons,82,241.2,44.4,92.6,.480,0.7,2.7,.260,43.7,90.0,.486,19.4,26.2,.740,15.0,29.5,44.4,23.8,9.5,6.9,21.2,25.2,108.9
1979/1980,Seattle SuperSonics,82,241.8,43.3,92.3,.470,0.7,2.3,.312,42.6,90.0,.474,21.1,27.5,.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5
1979/1980,New Jersey Nets,82,241.5,42.1,91.5,.461,1.0,3.6,.285,41.1,87.9,.468,23.0,29.3,.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3
1979/1980,Denver Nuggets,82,241.8,42.2,91.1,.463,1.0,3.1,.325,41.2,88.0,.468,22.8,31.0,.737,16.0,30.8,46.8,25.4,9.1,4.9,18.7,23.4,108.3
1979/1980,Kansas City Kings,82,241.5,43.7,91.3,.478,0.3,1.4,.219,43.4,89.9,.482,20.4,27.4,.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0
