Season,Team,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
1979/1980,San Diego Clippers,82,240.9,43.0,91.4,.470,2.2,6.6,.326,40.8,84.8,.482,19.5,26.4,.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6
1979/1980,Chicago Bulls,82,242.7,41.0,84.7,.484,0.9,3.4,.255,40.1,81.3,.494,24.6,31.6,.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5
1979/1980,Washington Bullets,82,242.4,43.6,95.1,.458,0.9,2.9,.307,42.7,92.2,.463,18.9,25.0,.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0
1979/1980,Atlanta Hawks,82,241.2,39.8,85.7,.464,0.2,0.9,.173,39.6,84.8,.467,24.9,32.3,.771,16.7,29.3,46.0,23.3,9.5,6.6,18.2,28.0,104.5
1979/1980,Golden State Warriors,82,242.4,43.0,89.2,.482,0.3,1.5,.223,42.7,87.8,.486,17.2,23.3,.738,14.1,29.7,43.8,24.7,9.5,4.1,18.2,25.4,103.6
1979/1980,Portland Trail Blazers,82,241.2,41.6,87.4,.476,0.3,1.6,.197,41.2,85.8,.481,19.0,25.6,.743,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5
1979/1980,Utah Jazz,82,241.5,41.2,83.1,.496,0.7,2.3,.319,40.5,80.9,.501,19.2,23.7,.809,11.8,28.8,40.6,24.5,8.0,4.4,18.8,24.5,102.4
1989/1990,Golden State Warriors,82,240.3,42.5,87.9,.484,3.0,9.1,.324,39.6,78.8,.503,28.2,34.9,.809,11.2,29.1,40.2,24.1,9.2,6.0,17.3,24.5,116.3
1989/1990,Phoenix Suns,82,242.1,43.2,87.1,.496,2.1,6.6,.324,41.1,80.4,.511,26.3,33.1,.795,12.8,32.3,45.2,25.7,8.1,6.1,15.5,22.3,114.9
1989/1990,Denver Nuggets,82,241.5,45.3,97.7,.464,2.8,8.3,.337,42.5,89.5,.475,21.2,26.8,.789,14.3,30.9,45.1,27.7,9.9,4.0,13.9,25.0,114.6
1989/1990,Portland Trail Blazers,82,242.4,43.6,92.0,.473,2.3,6.9,.336,41.2,85.1,.484,24.8,33.3,.743,16.5,31.1,47.6,25.4,9.1,4.4,16.5,25.0,114.2
1989/1990,Orlando Magic,82,241.5,42.2,91.8,.459,1.4,4.8,.295,40.7,87.0,.468,25.1,33.2,.756,15.9,30.1,46.0,24.3,7.5,3.6,17.2,24.1,110.9
1989/1990,Los Angeles Lakers,82,242.1,41.9,85.5,.490,3.8,10.3,.367,38.1,75.2,.507,23.2,29.5,.787,13.4,30.0,43.4,27.2,8.0,5.4,15.0,21.2,110.7
1989/1990,Philadelphia 76ers,82,241.5,41.9,85.7,.489,2.3,6.6,.348,39.6,79.1,.501,24.1,30.6,.788,13.5,29.3,42.9,23.6,8.4,4.5,14.7,20.7,110.2
1989/1990,Boston Celtics,82,240.3,43.5,87.2,.498,1.3,4.9,.262,42.2,82.2,.513,21.8,26.3,.832,13.0,33.0,46.0,29.5,6.6,5.5,15.3,20.9,110.0
1989/1990,Chicago Bulls,82,241.8,43.1,86.5,.498,3.0,8.2,.374,40.0,78.3,.511,20.3,26.1,.778,13.1,27.8,40.9,26.5,9.9,4.7,15.2,23.2,109.5
1989/1990,Indiana Pacers,82,242.4,41.2,83.0,.497,3.6,9.4,.382,37.6,73.6,.511,23.2,28.5,.816,11.5,29.1,40.6,24.7,6.7,4.3,16.4,24.0,109.3
1989/1990,Atlanta Hawks,82,240.6,41.7,85.6,.487,1.5,5.0,.302,40.2,80.6,.498,23.7,31.0,.764,15.5,26.7,42.2,22.2,8.7,4.3,15.5,22.8,108.5
1989/1990,New York Knicks,82,241.8,41.9,86.5,.484,2.9,8.7,.332,39.0,77.8,.501,21.6,28.6,.756,14.5,29.6,44.1,26.1,8.7,6.0,17.2,22.3,108.3
1989/1990,Washington Bullets,82,241.8,43.9,92.5,.475,0.5,2.4,.188,43.4,90.0,.482,19.5,25.5,.764,14.6,29.9,44.5,27.0,6.8,5.2,14.6,23.5,107.7
1989/1990,Seattle SuperSonics,82,242.7,42.3,88.3,.479,2.8,7.9,.355,39.5,80.4,.491,19.6,26.4,.741,16.1,27.5,43.6,22.9,8.5,4.1,16.3,25.2,106.9
1989/1990,Utah Jazz,82,241.8,40.6,80.4,.505,2.8,7.7,.359,37.9,72.7,.521,22.9,30.3,.754,11.6,30.5,42.1,27.0,8.3,6.0,17.2,24.8,106.8
1989/1990,Houston Rockets,82,241.5,42.5,88.4,.480,1.9,6.0,.312,40.6,82.4,.493,19.9,27.6,.720,14.8,32.2,47.0,26.8,9.9,6.7,18.5,23.6,106.7
1989/1990,San Antonio Spurs,82,240.6,41.3,85.3,.484,0.7,2.8,.239,40.7,82.6,.492,23.0,30.9,.745,14.2,30.2,44.4,24.8,9.7,6.8,17.1,22.6,106.3
1989/1990,Milwaukee Bucks,82,241.8,41.2,87.1,.473,2.5,8.2,.312,38.7,79.0,.490,21.0,27.7,.758,13.5,27.4,40.9,25.0,10.1,4.0,16.0,25.4,106.0
1989/1990,Detroit Pistons,82,241.5,40.6,85.1,.478,2.2,6.6,.327,38.5,78.5,.490,20.9,27.5,.761,14.5,30.0,44.4,24.3,6.2,5.1,15.0,23.9,104.3
1989/1990,Los Angeles Clippers,82,241.5,40.5,83.6,.484,0.7,2.8,.243,39.8,80.8,.493,22.1,30.0,.738,12.9,28.8,41.7,24.1,9.5,6.2,18.9,22.7,103.8
1989/1990,Cleveland Cavaliers,82,242.4,39.2,85.1,.461,4.2,10.4,.407,35.0,74.7,.468,20.0,26.8,.744,13.8,29.0,42.8,25.7,7.9,6.2,15.2,20.3,102.6
1989/1990,Dallas Mavericks,82,242.1,39.6,83.3,.475,1.9,5.9,.323,37.7,77.4,.487,21.2,27.6,.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2
1989/1990,Sacramento Kings,82,240.9,40.3,86.0,.468,2.6,7.9,.333,37.7,78.1,.482,18.5,24.0,.771,11.6,28.8,40.4,25.0,6.7,4.8,15.1,22.7,101.7
1989/1990,Miami Heat,82,240.6,41.3,89.6,.461,1.1,3.7,.293,40.2,85.9,.468,17.0,24.7,.687,15.1,28.2,43.4,23.9,9.0,4.7,19.0,25.9,100.6
1989/1990,Charlotte Hornets,82,240.9,39.9,87.6,.455,2.5,7.5,.336,37.4,80.1,.466,18.1,24.0,.756,11.7,27.0,38.7,25.4,9.5,3.2,15.0,23.0,100.4
1989/1990,New Jersey Nets,82,240.3,38.5,90.4,.426,1.7,6.2,.277,36.8,84.3,.437,21.4,28.7,.746,16.6,28.3,45.0,18.0,9.4,5.9,16.6,23.8,100.1
1989/1990,Minnesota Timberwolves,82,242.1,37.4,83.9,.446,0.9,3.6,.248,36.5,80.3,.455,19.5,26.1,.747,14.6,25.0,39.6,22.5,9.6,4.2,14.6,23.2,95.2
1999/2000,Sacramento Kings,82,241.5,40.0,88.9,.450,6.5,20.2,.322,33.4,68.7,.487,18.5,24.6,.754,12.9,32.1,45.0,23.8,9.6,4.6,16.2,21.1,105.0
1999/2000,Detroit Pistons,82,241.8,37.1,80.9,.459,5.4,14.9,.359,31.8,66.0,.481,23.9,30.6,.781,11.2,30.0,41.2,20.8,8.1,3.3,15.7,24.5,103.5
1999/2000,Dallas Mavericks,82,240.6,39.0,85.9,.453,6.3,16.2,.391,32.6,69.8,.468,17.2,21.4,.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4
1999/2000,Indiana Pacers,82,240.6,37.2,81.0,.459,7.1,18.1,.392,30.0,62.8,.478,19.9,24.5,.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3
1999/2000,Milwaukee Bucks,82,242.1,38.7,83.3,.465,4.8,13.0,.369,33.9,70.2,.483,19.0,24.2,.786,12.4,28.9,41.3,22.6,8.2,4.6,15.0,24.6,101.2
1999/2000,Los Angeles Lakers,82,241.5,38.3,83.4,.459,4.2,12.8,.329,34.1,70.6,.482,20.1,28.9,.696,13.6,33.4,47.0,23.4,7.5,6.5,13.9,22.5,100.8
1999/2000,Orlando Magic,82,240.9,38.6,85.5,.452,3.6,10.6,.338,35.1,74.9,.468,19.2,26.1,.735,14.0,31.0,44.9,20.8,9.1,5.7,17.6,24.0,100.1
1999/2000,Houston Rockets,82,241.8,36.6,81.3,.450,7.1,19.8,.358,29.5,61.5,.480,19.2,26.2,.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5
1999/2000,Boston Celtics,82,240.6,37.2,83.9,.444,5.1,15.4,.331,32.2,68.5,.469,19.8,26.5,.745,13.5,29.5,43.0,21.2,9.7,3.5,15.4,27.1,99.3
1999/2000,Seattle SuperSonics,82,241.2,37.9,84.7,.447,6.7,19.6,.339,31.2,65.1,.480,16.6,23.9,.695,12.7,30.3,43.0,22.9,8.0,4.2,14.0,21.7,99.1
1999/2000,Denver Nuggets,82,242.1,37.3,84.3,.442,5.7,17.0,.336,31.5,67.2,.469,18.7,25.8,.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99.0
1999/2000,Phoenix Suns,82,241.5,37.7,82.6,.457,5.6,15.2,.368,32.1,67.4,.477,17.9,23.6,.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9
1999/2000,Minnesota Timberwolves,82,242.7,39.3,84.3,.467,3.0,8.7,.346,36.3,75.5,.481,16.8,21.6,.780,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5
1999/2000,Charlotte Hornets,82,241.2,35.8,79.7,.449,4.1,12.2,.339,31.7,67.5,.469,22.7,30.0,.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4
1999/2000,New Jersey Nets,82,241.8,36.3,83.9,.433,5.8,16.8,.347,30.5,67.2,.454,19.5,24.9,.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98.0
1999/2000,Portland Trail Blazers,82,241.2,36.8,78.4,.470,5.0,13.8,.361,31.9,64.7,.493,18.8,24.7,.760,11.8,31.2,43.0,23.5,7.7,4.8,15.2,22.7,97.5
1999/2000,Toronto Raptors,82,240.9,36.3,83.9,.433,5.2,14.3,.363,31.2,69.6,.447,19.3,25.2,.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2
1999/2000,Cleveland Cavaliers,82,242.1,36.3,82.1,.442,4.2,11.2,.373,32.1,70.9,.453,20.2,26.9,.750,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97.0
1999/2000,Washington Wizards,82,241.5,36.7,81.5,.451,4.1,10.9,.376,32.6,70.6,.462,19.1,25.7,.743,13.0,29.7,42.7,21.6,7.2,4.7,16.1,26.2,96.6
1999/2000,Utah Jazz,82,240.9,36.1,77.8,.464,4.0,10.4,.385,32.1,67.4,.476,20.3,26.2,.773,11.4,29.6,41.0,24.9,7.7,5.4,14.9,24.5,96.5
1999/2000,San Antonio Spurs,82,242.1,36.0,78.0,.462,4.0,10.8,.374,32.0,67.2,.476,20.1,27.0,.746,11.3,32.5,43.8,22.2,7.5,6.7,15.0,20.9,96.2
1999/2000,Golden State Warriors,82,240.9,36.5,87.1,.420,4.2,13.0,.323,32.3,74.0,.437,18.3,26.2,.697,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9,95.5
1999/2000,Philadelphia 76ers,82,241.8,36.5,82.6,.442,2.5,7.8,.323,34.0,74.8,.454,19.2,27.1,.708,14.0,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8
1999/2000,Miami Heat,82,241.8,36.3,78.8,.460,5.4,14.7,.371,30.8,64.1,.481,16.4,22.3,.736,11.2,31.9,43.2,23.5,7.1,6.4,15.0,23.7,94.4
1999/2000,Atlanta Hawks,82,241.8,36.6,83.0,.441,3.1,9.9,.317,33.4,73.1,.458,18.0,24.2,.743,14.0,31.3,45.3,18.9,6.1,5.6,15.4,21.0,94.3
1999/2000,Vancouver Grizzlies,82,242.1,35.3,78.5,.449,4.0,11.0,.361,31.3,67.6,.463,19.4,25.1,.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9
1999/2000,New York Knicks,82,241.8,35.3,77.7,.455,4.3,11.4,.375,31.0,66.3,.468,17.2,22.0,.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1
1999/2000,Los Angeles Clippers,82,240.3,35.1,82.4,.426,5.2,15.5,.339,29.9,67.0,.446,16.6,22.3,.746,11.6,29.0,40.6,18.0,7.0,6.0,16.2,22.2,92.0
1999/2000,Chicago Bulls,82,241.5,31.3,75.4,.415,4.1,12.6,.329,27.1,62.8,.432,18.1,25.5,.709,12.6,28.3,40.9,20.1,7.9,4.7,19.0,23.3,84.8
1999/2000,Houston Comets,32,202.3,27.8,59.2,.470,5.4,15.3,.350,22.5,43.8,.512,16.3,19.8,.822,8.5,22.6,31.2,15.4,8.9,3.3,13.8,17.3,77.3
1999/2000,Los Angeles Sparks,32,201.6,26.9,61.1,.440,4.7,14.1,.332,22.2,47.0,.473,17.0,21.7,.786,9.6,24.5,34.1,18.3,8.5,4.9,14.6,22.0,75.5
1999/2000,Utah Starzz,32,200.0,26.8,59.3,.453,2.8,8.2,.336,24.1,51.1,.471,19.0,24.7,.771,10.9,22.9,33.8,16.3,6.7,4.9,17.0,21.8,75.4
1999/2000,Sacramento Monarchs,32,200.0,27.4,62.3,.440,4.4,14.3,.309,22.9,47.9,.478,14.0,20.3,.691,12.1,20.3,32.4,17.7,10.4,4.9,14.3,17.8,73.2
1999/2000,Detroit Shock,32,200.8,27.1,61.9,.438,2.4,8.5,.278,24.8,53.3,.464,16.2,21.8,.742,10.7,20.1,30.8,15.7,8.1,2.8,16.6,21.9,72.8
1999/2000,Phoenix Mercury,32,200.8,25.1,56.3,.446,3.9,12.3,.315,21.2,43.9,.483,16.0,20.7,.776,8.6,19.3,27.9,14.5,8.9,2.8,13.4,19.7,70.1
1999/2000,Indiana Fever,32,200.8,24.9,57.4,.433,6.0,16.3,.370,18.8,41.2,.458,13.4,17.8,.752,8.9,20.2,29.1,15.7,8.5,3.9,16.2,20.1,69.2
1999/2000,Orlando Miracle,32,203.1,26.0,59.7,.436,4.5,13.3,.342,21.5,46.5,.463,12.4,17.1,.727,10.0,18.9,28.9,14.8,8.0,4.1,15.2,18.2,69.0
1999/2000,Minnesota Lynx,32,200.8,24.1,57.2,.421,6.4,17.8,.357,17.7,39.4,.449,14.0,18.5,.758,8.1,19.1,27.2,15.5,7.4,2.0,15.5,21.6,68.5
1999/2000,Charlotte Sting,32,202.3,25.4,59.5,.427,4.1,12.1,.339,21.3,47.4,.449,13.5,18.0,.747,9.5,19.7,29.2,17.2,6.9,2.8,15.5,22.3,68.3
1999/2000,Cleveland Rockers,32,203.1,25.3,57.1,.443,4.4,12.7,.346,20.9,44.4,.470,13.3,17.8,.747,10.3,18.8,29.2,16.8,8.1,2.8,16.8,20.2,68.3
1999/2000,Washington Mystics,32,200.0,26.0,56.7,.459,3.4,10.5,.325,22.6,46.2,.489,12.6,18.1,.697,9.4,20.2,29.6,16.3,7.7,3.9,15.8,18.7,68.0
1999/2000,Portland Fire,32,203.9,23.8,57.1,.416,4.5,13.5,.335,19.3,43.6,.442,15.3,21.8,.700,9.7,19.6,29.3,15.0,8.3,2.9,18.5,23.8,67.3
1999/2000,New York Liberty,32,200.8,24.8,56.7,.436,4.2,12.4,.341,20.5,44.3,.463,13.4,17.7,.757,9.0,20.4,29.4,14.9,7.7,3.2,14.8,19.3,67.1
1999/2000,Miami Sol,32,202.3,20.2,55.4,.365,2.7,9.7,.274,17.6,45.8,.384,14.1,20.8,.681,11.4,18.6,30.0,13.0,8.5,2.8,16.4,22.1,57.2
1999/2000,Seattle Storm,32,202.3,20.8,54.4,.383,3.4,11.4,.299,17.4,43.0,.406,11.8,17.5,.676,8.0,16.8,24.8,12.2,8.0,2.9,16.4,20.3,56.9
2009/2010,Phoenix Suns,82,240.6,40.7,82.8,.492,8.9,21.6,.412,31.8,61.2,.520,19.9,25.8,.770,11.1,31.9,43.0,23.3,5.8,5.1,14.8,20.9,110.2
2009/2010,Golden State Warriors,82,240.6,40.6,86.5,.469,7.7,20.6,.375,32.9,65.9,.499,19.9,25.4,.782,9.2,29.2,38.4,22.4,9.3,4.1,14.7,23.0,108.8
2009/2010,Denver Nuggets,82,241.2,38.1,81.4,.468,6.6,18.5,.359,31.5,62.9,.500,23.6,30.6,.772,10.8,30.5,41.4,21.0,8.3,5.1,13.9,22.5,106.5
2009/2010,Utah Jazz,82,240.9,39.4,80.2,.491,5.4,14.7,.364,34.0,65.5,.519,20.2,27.2,.741,10.6,31.6,42.2,26.7,8.2,4.9,15.2,22.7,104.2
2009/2010,Toronto Raptors,82,241.2,39.0,80.9,.482,6.3,17.0,.371,32.7,63.8,.512,19.7,25.8,.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1
2009/2010,Orlando Magic,82,240.6,36.6,78.0,.470,10.3,27.3,.375,26.4,50.6,.521,19.2,26.5,.724,9.9,33.4,43.2,19.7,6.2,5.6,14.1,19.9,102.8
2009/2010,Memphis Grizzlies,82,242.7,39.3,83.8,.469,4.2,12.4,.337,35.1,71.4,.492,19.7,26.9,.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5
2009/2010,Houston Rockets,82,242.7,37.7,84.4,.447,7.9,22.4,.351,29.9,62.0,.481,19.0,24.7,.772,11.8,30.1,42.0,21.8,7.1,3.9,14.5,20.9,102.4
2009/2010,Cleveland Cavaliers,82,241.2,37.8,77.9,.485,7.3,19.3,.381,30.5,58.6,.520,19.1,26.6,.720,9.6,32.8,42.5,22.4,6.9,5.2,13.9,19.4,102.1
2009/2010,New York Knicks,82,242.4,38.1,83.9,.455,9.1,26.2,.346,29.1,57.7,.504,16.8,21.5,.782,10.2,30.2,40.4,21.6,7.1,3.7,14.0,20.0,102.1
2009/2010,Dallas Mavericks,82,242.4,38.3,82.4,.464,6.8,18.3,.372,31.5,64.2,.491,18.6,22.8,.816,10.2,31.5,41.7,23.4,7.6,5.5,12.9,19.1,102.0
2009/2010,Los Angeles Lakers,82,241.8,38.3,83.8,.457,6.5,19.0,.341,31.9,64.8,.492,18.5,24.2,.765,11.9,32.5,44.3,21.1,7.5,4.9,13.4,19.4,101.7
2009/2010,Atlanta Hawks,82,242.1,38.8,82.9,.468,6.4,17.7,.360,32.4,65.2,.497,17.7,23.3,.759,11.8,29.9,41.7,21.8,7.2,5.0,12.0,19.9,101.7
