Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
2020/2021,WNBA,Atlanta Dream,8,24,.250,18.0,78.7,84.3,No
2020/2021,WNBA,Indiana Fever,6,26,.188,20.0,75.3,85.1,No
2020/2021,WNBA,Las Vegas Aces,24,8,.750,—,89.3,80.2,Yes
2020/2021,WNBA,Minnesota Lynx,22,10,.688,2.0,82.7,78.7,Yes
2020/2021,WNBA,Seattle Storm,21,11,.656,3.0,84.8,80.4,Yes
2020/2021,WNBA,Phoenix Mercury,19,13,.594,5.0,82.1,79.5,Yes
2020/2021,WNBA,Dallas Wings,14,18,.438,10.0,81.1,81.7,Yes
2020/2021,WNBA,Los Angeles Sparks,12,20,.375,12.0,72.8,77.1,No
2021/2022,NBA,Boston Celtics,51,31,.622,—,111.8,104.5,Yes
2021/2022,NBA,Philadelphia 76ers,51,31,.622,—,109.9,107.3,Yes
2021/2022,NBA,Toronto Raptors,48,34,.585,3.0,109.4,107.1,Yes
2021/2022,NBA,Brooklyn Nets,44,38,.537,7.0,112.9,112.1,Yes
2021/2022,NBA,New York Knicks,37,45,.451,14.0,106.5,106.6,No
2021/2022,NBA,Milwaukee Bucks,51,31,.622,—,115.5,112.1,Yes
2021/2022,NBA,Chicago Bulls,46,36,.561,5.0,111.6,112.0,Yes
2021/2022,NBA,Cleveland Cavaliers,44,38,.537,7.0,107.8,105.7,No
2021/2022,NBA,Indiana Pacers,25,57,.305,26.0,111.5,114.9,No
2021/2022,NBA,Detroit Pistons,23,59,.280,28.0,104.8,112.5,No
2021/2022,NBA,Miami Heat,53,29,.646,—,110.0,105.6,Yes
2021/2022,NBA,Atlanta Hawks,43,39,.524,10.0,113.9,112.4,Yes
2021/2022,NBA,Charlotte Hornets,43,39,.524,10.0,115.3,114.9,No
2021/2022,NBA,Washington Wizards,35,47,.427,18.0,108.6,112.0,No
2021/2022,NBA,Orlando Magic,22,60,.268,31.0,104.2,112.2,No
2021/2022,NBA,Utah Jazz,49,33,.598,—,113.6,107.6,Yes
2021/2022,NBA,Denver Nuggets,48,34,.585,1.0,112.7,110.4,Yes
2021/2022,NBA,Minnesota Timberwolves,46,36,.561,3.0,115.9,113.3,Yes
2021/2022,NBA,Portland Trail Blazers,27,55,.329,22.0,106.2,115.1,No
2021/2022,NBA,Oklahoma City Thunder,24,58,.293,25.0,103.7,111.8,No
2021/2022,NBA,Phoenix Suns,64,18,.780,—,114.8,107.3,Yes
2021/2022,NBA,Golden State Warriors,53,29,.646,11.0,111.0,105.5,Yes
2021/2022,NBA,Los Angeles Clippers,42,40,.512,22.0,108.4,108.4,No
2021/2022,NBA,Los Angeles Lakers,33,49,.402,31.0,112.1,115.1,No
2021/2022,NBA,Sacramento Kings,30,52,.366,34.0,110.3,115.8,No
2021/2022,NBA,Memphis Grizzlies,56,26,.683,—,115.6,109.9,Yes
2021/2022,NBA,Dallas Mavericks,52,30,.634,4.0,108.0,104.7,Yes
2021/2022,NBA,New Orleans Pelicans,36,46,.439,20.0,109.3,110.3,Yes
2021/2022,NBA,San Antonio Spurs,34,48,.415,22.0,113.2,113.0,No
2021/2022,NBA,Houston Rockets,20,62,.244,36.0,109.7,118.2,No
2021/2022,WNBA,Chicago Sky,26,10,.722,—,86.3,81.3,Yes
2021/2022,WNBA,Connecticut Sun,25,11,.694,1.0,85.8,77.8,Yes
2021/2022,WNBA,Washington Mystics,22,14,.611,4.0,80.2,75.9,Yes
2021/2022,WNBA,New York Liberty,16,20,.444,10.0,79.6,82.0,Yes
2021/2022,WNBA,Atlanta Dream,14,22,.389,12.0,78.5,81.5,No
2021/2022,WNBA,Indiana Fever,5,31,.139,21.0,78.0,89.1,No
2021/2022,WNBA,Las Vegas Aces,26,10,.722,—,90.4,84.1,Yes
2021/2022,WNBA,Seattle Storm,22,14,.611,4.0,82.5,78.4,Yes
2021/2022,WNBA,Dallas Wings,18,18,.500,8.0,82.9,82.8,Yes
2021/2022,WNBA,Phoenix Mercury,15,21,.417,11.0,81.1,84.1,Yes
2021/2022,WNBA,Minnesota Lynx,14,22,.389,12.0,82.4,83.9,No
2021/2022,WNBA,Los Angeles Sparks,13,23,.361,13.0,79.4,86.6,No
