Season,Team,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
2019/2020,Milwaukee Bucks,29.2,56,17,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,.552,12.9,20.7,.201,.489,12.0,81.6,.178
2019/2020,Boston Celtics,25.3,48,24,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,.531,12.2,23.9,.207,.509,13.5,77.4,.215
2019/2020,Los Angeles Clippers,27.4,49,23,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,.535,12.6,23.5,.233,.506,12.2,77.6,.206
2019/2020,Toronto Raptors,26.6,53,19,50,22,6.24,-0.26,5.97,111.1,105.0,+6.1,100.9,.264,.421,.574,.536,13.1,21.3,.210,.502,14.6,76.7,.202
2019/2020,Los Angeles Lakers,29.5,52,19,48,23,5.79,0.49,6.28,112.0,106.3,+5.7,100.9,.276,.358,.573,.542,13.3,24.5,.201,.515,14.1,78.8,.205
2019/2020,Dallas Mavericks,26.1,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,.545,11.2,23.2,.206,.525,10.6,77.7,.175
2019/2020,Miami Heat,25.9,44,29,43,30,2.95,-0.35,2.59,112.5,109.5,+3.0,98.3,.299,.419,.587,.547,13.5,20.3,.234,.523,12.6,79.5,.213
2019/2020,Houston Rockets,29.2,44,28,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,.537,12.6,21.0,.228,.529,13.7,75.6,.197
2019/2020,Utah Jazz,27.3,44,28,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,.549,13.7,21.6,.208,.518,11.1,78.9,.185
2019/2020,Philadelphia 76ers,26.3,43,30,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,.534,12.7,23.9,.193,.523,12.5,80.3,.214
2019/2020,Denver Nuggets,25.6,46,27,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,.535,12.3,24.8,.183,.533,12.9,76.8,.198
2019/2020,Indiana Pacers,25.6,45,28,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,.534,12.0,20.0,.170,.511,13.0,76.7,.192
2019/2020,Oklahoma City Thunder,25.5,44,28,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,.530,12.4,19.3,.231,.518,12.6,76.8,.173
2019/2020,Phoenix Suns,24.6,34,39,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,.532,13.0,22.2,.226,.539,13.7,78.8,.221
2019/2020,Brooklyn Nets,26.3,35,37,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,.520,13.1,23.2,.199,.511,11.0,77.8,.187
2019/2020,Orlando Magic,26.1,33,40,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,.506,11.5,22.3,.198,.535,13.2,79.1,.176
2019/2020,San Antonio Spurs,27.6,32,39,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,.531,11.2,20.1,.212,.542,11.7,79.2,.193
2019/2020,Memphis Grizzlies,24.1,34,39,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,.240,.346,.561,.528,13.2,23.0,.183,.521,12.7,77.8,.217
