Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
1961/1962,NBA,Philadelphia Warriors,49,31,.613,11.0,125.4,122.7,Yes
1961/1962,NBA,Syracuse Nationals,41,39,.513,19.0,120.7,118.4,Yes
1961/1962,NBA,New York Knicks,29,51,.363,31.0,114.8,119.7,No
1961/1962,NBA,Los Angeles Lakers,54,26,.675,—,118.5,116.3,Yes
1961/1962,NBA,Cincinnati Royals,43,37,.538,11.0,123.1,121.3,Yes
1961/1962,NBA,Detroit Pistons,37,43,.463,17.0,115.4,117.1,Yes
1961/1962,NBA,St. Louis Hawks,29,51,.363,25.0,118.9,122.1,No
1961/1962,NBA,Chicago Packers,18,62,.225,36.0,110.9,119.4,No
1962/1963,NBA,Boston Celtics,58,22,.725,—,118.8,111.6,Yes
1962/1963,NBA,Syracuse Nationals,48,32,.600,10.0,121.6,117.8,Yes
1962/1963,NBA,Cincinnati Royals,42,38,.525,16.0,119.1,117.8,Yes
1962/1963,NBA,New York Knicks,21,59,.263,37.0,110.5,117.7,No
1962/1963,NBA,Los Angeles Lakers,53,27,.663,—,115.5,112.4,Yes
1962/1963,NBA,St. Louis Hawks,48,32,.600,5.0,109.6,107.8,Yes
1962/1963,NBA,Detroit Pistons,34,46,.425,19.0,113.9,117.6,Yes
1962/1963,NBA,San Francisco Warriors,31,49,.388,22.0,118.5,120.6,No
1962/1963,NBA,Chicago Zephyrs,25,55,.313,28.0,109.9,114.0,No
1963/1964,NBA,Boston Celtics,59,21,.738,—,113.0,105.1,Yes
1963/1964,NBA,Cincinnati Royals,55,25,.688,4.0,114.7,109.7,Yes
1963/1964,NBA,Philadelphia 76ers,34,46,.425,25.0,112.2,116.5,Yes
1963/1964,NBA,New York Knicks,22,58,.275,37.0,112.2,119.0,No
1963/1964,NBA,San Francisco Warriors,48,32,.600,—,107.7,102.6,Yes
1963/1964,NBA,St. Louis Hawks,46,34,.575,2.0,110.0,108.4,Yes
1963/1964,NBA,Los Angeles Lakers,42,38,.525,6.0,109.7,108.7,Yes
1963/1964,NBA,Baltimore Bullets,31,49,.388,17.0,111.9,113.6,No
1963/1964,NBA,Detroit Pistons,23,57,.288,25.0,107.8,115.5,No
1964/1965,NBA,Boston Celtics,62,18,.775,—,112.8,104.4,Yes
1964/1965,NBA,Cincinnati Royals,48,32,.600,14.0,114.2,111.9,Yes
1964/1965,NBA,Philadelphia 76ers,40,40,.500,22.0,112.5,112.7,Yes
1964/1965,NBA,New York Knicks,31,49,.388,31.0,107.4,111.1,No
1964/1965,NBA,Los Angeles Lakers,49,31,.613,—,111.9,109.9,Yes
1964/1965,NBA,St. Louis Hawks,45,35,.563,4.0,108.8,105.8,Yes
1964/1965,NBA,Baltimore Bullets,37,43,.463,12.0,113.6,115.8,Yes
1964/1965,NBA,Detroit Pistons,31,49,.388,18.0,108.5,111.9,No
1964/1965,NBA,San Francisco Warriors,17,63,.213,32.0,105.8,112.0,No
1965/1966,NBA,Philadelphia 76ers,55,25,.688,—,117.3,112.7,Yes
1965/1966,NBA,Boston Celtics,54,26,.675,1.0,112.7,107.8,Yes
1965/1966,NBA,Cincinnati Royals,45,35,.563,10.0,117.8,116.6,Yes
1965/1966,NBA,New York Knicks,30,50,.375,25.0,116.7,119.3,No
1965/1966,NBA,Los Angeles Lakers,45,35,.563,—,119.5,116.4,Yes
1965/1966,NBA,Baltimore Bullets,38,42,.475,7.0,118.3,119.5,Yes
1965/1966,NBA,St. Louis Hawks,36,44,.450,9.0,111.4,112.0,Yes
1965/1966,NBA,San Francisco Warriors,35,45,.438,10.0,115.5,118.2,No
1965/1966,NBA,Detroit Pistons,22,58,.275,23.0,110.3,117.2,No
1966/1967,NBA,Philadelphia 76ers,68,13,.840,—,125.2,115.8,Yes
1966/1967,NBA,Boston Celtics,60,21,.741,8.0,119.3,111.3,Yes
1966/1967,NBA,Cincinnati Royals,39,42,.481,29.0,117.1,117.4,Yes
1966/1967,NBA,New York Knicks,36,45,.444,32.0,116.4,119.4,Yes
1966/1967,NBA,Baltimore Bullets,20,61,.247,48.0,115.5,122.0,No
1966/1967,NBA,San Francisco Warriors,44,37,.543,—,122.4,119.5,Yes
1966/1967,NBA,St. Louis Hawks,39,42,.481,5.0,113.6,115.2,Yes
1966/1967,NBA,Los Angeles Lakers,36,45,.444,8.0,120.5,120.2,Yes
1966/1967,NBA,Chicago Bulls,33,48,.407,11.0,113.2,116.9,Yes
1966/1967,NBA,Detroit Pistons,30,51,.370,14.0,111.3,116.8,No
1967/1968,NBA,Philadelphia 76ers,62,20,.756,—,122.6,114.0,Yes
1967/1968,NBA,Boston Celtics,54,28,.659,8.0,116.1,112.0,Yes
1967/1968,NBA,New York Knicks,43,39,.524,19.0,116.1,114.3,Yes
1967/1968,NBA,Detroit Pistons,40,42,.488,22.0,118.6,120.6,Yes
1967/1968,NBA,Cincinnati Royals,39,43,.476,23.0,116.6,117.5,No
1967/1968,NBA,Baltimore Bullets,36,46,.439,26.0,117.4,117.8,No
1967/1968,NBA,St. Louis Hawks,56,26,.683,—,113.0,110.3,Yes
1967/1968,NBA,Los Angeles Lakers,52,30,.634,4.0,121.2,115.6,Yes
1967/1968,NBA,San Francisco Warriors,43,39,.524,13.0,117.0,117.6,Yes
1967/1968,NBA,Chicago Bulls,29,53,.354,27.0,109.5,113.5,Yes
1967/1968,NBA,Seattle SuperSonics,23,59,.280,33.0,118.7,125.1,No
1967/1968,NBA,San Diego Rockets,15,67,.183,41.0,112.4,121.0,No
1968/1969,NBA,Baltimore Bullets,57,25,.695,—,116.4,112.1,Yes
1968/1969,NBA,Philadelphia 76ers,55,27,.671,2.0,118.9,113.8,Yes
1968/1969,NBA,New York Knicks,54,28,.659,3.0,110.8,105.1,Yes
1968/1969,NBA,Boston Celtics,48,34,.585,9.0,111.0,105.4,Yes
1968/1969,NBA,Cincinnati Royals,41,41,.500,16.0,114.5,115.6,No
1968/1969,NBA,Detroit Pistons,32,50,.390,25.0,114.1,117.3,No
1968/1969,NBA,Milwaukee Bucks,27,55,.329,30.0,110.2,115.4,No
1968/1969,NBA,Los Angeles Lakers,55,27,.671,—,112.2,108.1,Yes
1968/1969,NBA,Atlanta Hawks,48,34,.585,7.0,111.3,109.0,Yes
1968/1969,NBA,San Francisco Warriors,41,41,.500,14.0,109.1,110.7,Yes
1968/1969,NBA,San Diego Rockets,37,45,.451,18.0,115.3,115.5,Yes
1968/1969,NBA,Chicago Bulls,33,49,.402,22.0,104.7,107.0,No
1968/1969,NBA,Seattle SuperSonics,30,52,.366,25.0,112.1,116.9,No
1968/1969,NBA,Phoenix Suns,16,66,.195,39.0,111.7,120.5,No
1969/1970,NBA,New York Knicks,60,22,.732,—,115.0,105.9,Yes
1969/1970,NBA,Milwaukee Bucks,56,26,.683,4.0,118.8,114.2,Yes
1969/1970,NBA,Baltimore Bullets,50,32,.610,10.0,120.7,118.6,Yes
1969/1970,NBA,Philadelphia 76ers,42,40,.512,18.0,121.9,118.5,Yes
1969/1970,NBA,Cincinnati Royals,36,46,.439,24.0,117.3,120.2,No
1969/1970,NBA,Boston Celtics,34,48,.415,26.0,114.9,116.8,No
1969/1970,NBA,Detroit Pistons,31,51,.378,29.0,112.8,116.1,No
1969/1970,NBA,Atlanta Hawks,48,34,.585,—,117.6,117.2,Yes
1969/1970,NBA,Los Angeles Lakers,46,36,.561,2.0,113.7,111.8,Yes
1969/1970,NBA,Chicago Bulls,39,43,.476,9.0,114.9,116.7,Yes
1969/1970,NBA,Phoenix Suns,39,43,.476,9.0,119.3,121.1,Yes
1969/1970,NBA,Seattle SuperSonics,36,46,.439,12.0,116.9,119.5,No
1969/1970,NBA,San Francisco Warriors,30,52,.366,18.0,111.1,115.6,No
1969/1970,NBA,San Diego Rockets,27,55,.329,21.0,118.7,121.8,No
1970/1971,NBA,New York Knicks,52,30,.634,—,110.1,105.0,Yes
1970/1971,NBA,Philadelphia 76ers,47,35,.573,5.0,114.8,113.3,Yes
1970/1971,NBA,Boston Celtics,44,38,.537,8.0,117.2,115.1,No
1970/1971,NBA,Buffalo Braves,22,60,.268,30.0,105.5,112.1,No
1970/1971,NBA,Baltimore Bullets,42,40,.512,—,112.9,112.3,Yes
1970/1971,NBA,Atlanta Hawks,36,46,.439,6.0,114.0,115.8,Yes
1970/1971,NBA,Cincinnati Royals,33,49,.402,9.0,116.0,119.2,No
1970/1971,NBA,Cleveland Cavaliers,15,67,.183,27.0,102.1,113.3,No
1970/1971,NBA,Milwaukee Bucks,66,16,.805,—,118.4,106.2,Yes
1970/1971,NBA,Chicago Bulls,51,31,.622,15.0,110.6,105.4,Yes
1970/1971,NBA,Phoenix Suns,48,34,.585,18.0,113.8,111.9,No
1970/1971,NBA,Detroit Pistons,45,37,.549,21.0,110.1,110.9,No
1970/1971,NBA,Los Angeles Lakers,48,34,.585,—,114.8,111.7,Yes
1970/1971,NBA,San Francisco Warriors,41,41,.500,7.0,107.1,108.5,Yes
1970/1971,NBA,San Diego Rockets,40,42,.488,8.0,113.2,113.4,No
1970/1971,NBA,Seattle SuperSonics,38,44,.463,10.0,115.0,117.0,No
1970/1971,NBA,Portland Trail Blazers,29,53,.354,19.0,115.5,120.0,No
1971/1972,NBA,Boston Celtics,56,26,.683,—,115.6,110.8,Yes
1971/1972,NBA,New York Knicks,48,34,.585,8.0,107.1,104.7,Yes
1971/1972,NBA,Philadelphia 76ers,30,52,.366,26.0,112.2,115.9,No
1971/1972,NBA,Buffalo Braves,22,60,.268,34.0,102.0,111.3,No
1971/1972,NBA,Baltimore Bullets,38,44,.463,—,107.1,108.3,Yes
1971/1972,NBA,Atlanta Hawks,36,46,.439,2.0,109.5,111.3,Yes
1971/1972,NBA,Cincinnati Royals,30,52,.366,8.0,107.8,111.8,No
1971/1972,NBA,Cleveland Cavaliers,23,59,.280,15.0,105.8,113.4,No
1971/1972,NBA,Milwaukee Bucks,63,19,.768,—,114.6,103.5,Yes
1971/1972,NBA,Chicago Bulls,57,25,.695,6.0,111.2,102.9,Yes
1971/1972,NBA,Phoenix Suns,49,33,.598,14.0,116.3,110.8,No
1971/1972,NBA,Detroit Pistons,26,56,.317,37.0,109.1,115.9,No
1971/1972,NBA,Los Angeles Lakers,69,13,.841,—,121.0,108.7,Yes
1971/1972,NBA,Golden State Warriors,51,31,.622,18.0,108.2,107.4,Yes
1971/1972,NBA,Seattle SuperSonics,47,35,.573,22.0,109.2,108.8,No
1971/1972,NBA,Houston Rockets,34,48,.415,35.0,109.7,111.2,No
1971/1972,NBA,Portland Trail Blazers,18,64,.220,51.0,106.8,116.5,No
1972/1973,NBA,Boston Celtics,68,14,.829,—,112.7,104.5,Yes
1972/1973,NBA,New York Knicks,57,25,.695,11.0,105.0,98.2,Yes
1972/1973,NBA,Buffalo Braves,21,61,.256,47.0,103.3,112.5,No
1972/1973,NBA,Philadelphia 76ers,9,73,.110,59.0,104.1,116.2,No
1972/1973,NBA,Baltimore Bullets,52,30,.634,—,105.0,101.6,Yes
1972/1973,NBA,Atlanta Hawks,46,36,.561,6.0,112.4,112.3,Yes
1972/1973,NBA,Houston Rockets,33,49,.402,19.0,112.8,114.5,No
1972/1973,NBA,Cleveland Cavaliers,32,50,.390,20.0,102.7,105.3,No
1972/1973,NBA,Milwaukee Bucks,60,22,.732,—,107.2,99.0,Yes
1972/1973,NBA,Chicago Bulls,51,31,.622,9.0,104.1,100.6,Yes
1972/1973,NBA,Detroit Pistons,40,42,.488,20.0,110.3,110.0,No
1972/1973,NBA,Kansas City-Omaha Kings,36,46,.439,24.0,107.6,110.5,No
1972/1973,NBA,Los Angeles Lakers,60,22,.732,—,111.7,103.2,Yes
1972/1973,NBA,Golden State Warriors,47,35,.573,13.0,108.8,105.7,Yes
1972/1973,NBA,Phoenix Suns,38,44,.463,22.0,111.6,112.9,No
1972/1973,NBA,Seattle SuperSonics,26,56,.317,34.0,103.7,109.6,No
1972/1973,NBA,Portland Trail Blazers,21,61,.256,39.0,106.2,112.4,No
1973/1974,NBA,Boston Celtics,56,26,.683,—,109.0,105.1,Yes
1973/1974,NBA,New York Knicks,49,33,.598,7.0,101.3,98.5,Yes
1973/1974,NBA,Buffalo Braves,42,40,.512,14.0,111.6,111.8,Yes
1973/1974,NBA,Philadelphia 76ers,25,57,.305,31.0,101.2,107.5,No
1973/1974,NBA,Capital Bullets,47,35,.573,—,101.9,100.4,Yes
1973/1974,NBA,Atlanta Hawks,35,47,.427,12.0,108.6,110.0,No
1973/1974,NBA,Houston Rockets,32,50,.390,15.0,107.4,107.6,No
1973/1974,NBA,Cleveland Cavaliers,29,53,.354,18.0,100.3,104.6,No
1973/1974,NBA,Milwaukee Bucks,59,23,.720,—,107.1,99.0,Yes
1973/1974,NBA,Chicago Bulls,54,28,.659,5.0,102.0,98.7,Yes
1973/1974,NBA,Detroit Pistons,52,30,.634,7.0,104.4,100.3,Yes
1973/1974,NBA,Kansas City-Omaha Kings,33,49,.402,26.0,102.0,105.8,No
1973/1974,NBA,Los Angeles Lakers,47,35,.573,—,109.2,108.3,Yes
1973/1974,NBA,Golden State Warriors,44,38,.537,3.0,109.9,107.3,No
1973/1974,NBA,Seattle SuperSonics,36,46,.439,11.0,107.0,109.5,No
1973/1974,NBA,Phoenix Suns,30,52,.366,17.0,107.9,111.5,No
1973/1974,NBA,Portland Trail Blazers,27,55,.329,20.0,106.8,111.6,No
1974/1975,NBA,Boston Celtics,60,22,.732,—,106.5,100.8,Yes
1974/1975,NBA,Buffalo Braves,49,33,.598,11.0,107.8,105.6,Yes
1974/1975,NBA,New York Knicks,40,42,.488,20.0,100.4,101.7,Yes
1974/1975,NBA,Philadelphia 76ers,34,48,.415,26.0,99.8,102.8,No
1974/1975,NBA,Washington Bullets,60,22,.732,—,104.7,97.5,Yes
1974/1975,NBA,Houston Rockets,41,41,.500,19.0,103.9,102.9,Yes
1974/1975,NBA,Cleveland Cavaliers,40,42,.488,20.0,99.0,99.4,No
1974/1975,NBA,Atlanta Hawks,31,51,.378,29.0,105.1,106.5,No
1974/1975,NBA,New Orleans Jazz,23,59,.280,37.0,101.5,109.3,No
1974/1975,NBA,Chicago Bulls,47,35,.573,—,98.1,95.0,Yes
1974/1975,NBA,Kansas City-Omaha Kings,44,38,.537,3.0,101.4,101.6,Yes
1974/1975,NBA,Detroit Pistons,40,42,.488,7.0,98.9,100.3,Yes
1974/1975,NBA,Milwaukee Bucks,38,44,.463,9.0,100.7,100.5,No
1974/1975,NBA,Golden State Warriors,48,34,.585,—,108.5,105.2,Yes
1974/1975,NBA,Seattle SuperSonics,43,39,.524,5.0,103.1,104.1,Yes
1974/1975,NBA,Portland Trail Blazers,38,44,.463,10.0,103.8,103.3,No
1974/1975,NBA,Phoenix Suns,32,50,.390,16.0,101.2,103.6,No
1974/1975,NBA,Los Angeles Lakers,30,52,.366,18.0,103.2,107.2,No
1975/1976,NBA,Boston Celtics,54,28,.659,—,106.2,103.9,Yes
1975/1976,NBA,Philadelphia 76ers,46,36,.561,8.0,106.5,106.3,Yes
1975/1976,NBA,Buffalo Braves,46,36,.561,8.0,107.3,106.4,Yes
1975/1976,NBA,New York Knicks,38,44,.463,16.0,102.7,103.9,No
1975/1976,NBA,Cleveland Cavaliers,49,33,.598,—,101.7,99.2,Yes
1975/1976,NBA,Washington Bullets,48,34,.585,1.0,102.8,100.4,Yes
1975/1976,NBA,Houston Rockets,40,42,.488,9.0,106.2,107.0,No
1975/1976,NBA,New Orleans Jazz,38,44,.463,11.0,104.1,105.0,No
1975/1976,NBA,Atlanta Hawks,29,53,.354,20.0,102.6,105.5,No
1975/1976,NBA,Milwaukee Bucks,38,44,.463,—,101.8,103.3,Yes
1975/1976,NBA,Detroit Pistons,36,46,.439,2.0,104.9,106.0,Yes
1975/1976,NBA,Kansas City Kings,31,51,.378,7.0,103.3,106.2,No
1975/1976,NBA,Chicago Bulls,24,58,.293,14.0,95.9,98.8,No
1975/1976,NBA,Golden State Warriors,59,23,.720,—,109.8,103.1,Yes
1975/1976,NBA,Seattle SuperSonics,43,39,.524,16.0,106.4,106.7,Yes
1975/1976,NBA,Phoenix Suns,42,40,.512,17.0,105.1,104.5,Yes
1975/1976,NBA,Los Angeles Lakers,40,42,.488,19.0,106.9,106.8,No
1975/1976,NBA,Portland Trail Blazers,37,45,.451,22.0,104.1,105.3,No
1976/1977,NBA,Philadelphia 76ers,50,32,.610,—,110.2,106.2,Yes
1976/1977,NBA,Boston Celtics,44,38,.537,6.0,104.5,106.5,Yes
1976/1977,NBA,New York Knicks,40,42,.488,10.0,108.6,108.6,No
1976/1977,NBA,Buffalo Braves,30,52,.366,20.0,105.0,109.5,No
1976/1977,NBA,New York Nets,22,60,.268,28.0,95.9,102.7,No
1976/1977,NBA,Houston Rockets,49,33,.598,—,106.4,104.8,Yes
1976/1977,NBA,Washington Bullets,48,34,.585,1.0,105.5,104.5,Yes
1976/1977,NBA,San Antonio Spurs,44,38,.537,5.0,115.0,114.4,Yes
1976/1977,NBA,Cleveland Cavaliers,43,39,.524,6.0,102.1,101.0,Yes
1976/1977,NBA,New Orleans Jazz,35,47,.427,14.0,104.6,107.4,No
1976/1977,NBA,Atlanta Hawks,31,51,.378,18.0,102.4,106.4,No
1976/1977,NBA,Denver Nuggets,50,32,.610,—,112.6,107.4,Yes
1976/1977,NBA,Detroit Pistons,44,38,.537,6.0,109.4,110.4,Yes
1976/1977,NBA,Chicago Bulls,44,38,.537,6.0,98.9,98.0,Yes
1976/1977,NBA,Kansas City Kings,40,42,.488,10.0,107.7,106.8,No
1976/1977,NBA,Indiana Pacers,36,46,.439,14.0,106.8,108.6,No
1976/1977,NBA,Milwaukee Bucks,30,52,.366,20.0,108.4,111.5,No
1976/1977,NBA,Los Angeles Lakers,53,29,.646,—,106.9,104.1,Yes
1976/1977,NBA,Portland Trail Blazers,49,33,.598,4.0,111.7,106.2,Yes
1976/1977,NBA,Golden State Warriors,46,36,.561,7.0,110.9,107.7,Yes
1976/1977,NBA,Seattle SuperSonics,40,42,.488,13.0,104.0,105.5,No
1976/1977,NBA,Phoenix Suns,34,48,.415,19.0,104.9,104.2,No
