Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs
1949/1950,NBA,Minneapolis Lakers,51,17,.750,—,84.1,75.7,Yes
1949/1950,NBA,Rochester Royals,51,17,.750,—,82.4,74.6,Yes
1949/1950,NBA,Fort Wayne Pistons,40,28,.588,11.0,79.3,77.9,Yes
1949/1950,NBA,Chicago Stags,40,28,.588,11.0,78.7,77.1,Yes
1949/1950,NBA,St. Louis Bombers,26,42,.382,25.0,73.7,76.5,No
1949/1950,NBA,Syracuse Nationals,51,13,.797,—,84.8,76.7,Yes
1949/1950,NBA,New York Knicks,40,28,.588,13.0,80.7,78.6,Yes
1949/1950,NBA,Washington Capitols,32,36,.471,21.0,76.5,77.4,Yes
1949/1950,NBA,Philadelphia Warriors,26,42,.382,27.0,73.3,76.4,Yes
1949/1950,NBA,Baltimore Bullets,25,43,.368,28.0,73.1,78.7,No
1949/1950,NBA,Boston Celtics,22,46,.324,31.0,79.7,82.2,No
1949/1950,NBA,Indianapolis Olympians,39,25,.609,—,85.8,82.1,Yes
1949/1950,NBA,Anderson Packers,37,27,.578,2.0,87.3,83.5,Yes
1949/1950,NBA,Tri-Cities Blackhawks,29,35,.453,10.0,83.0,83.6,Yes
1949/1950,NBA,Sheboygan Red Skins,22,40,.355,16.0,82.4,87.8,Yes
1949/1950,NBA,Waterloo Hawks,19,43,.306,19.0,79.4,84.9,No
1949/1950,NBA,Denver Nuggets,11,51,.177,27.0,77.7,89.2,No
1950/1951,NBA,Philadelphia Warriors,40,26,.606,—,85.4,81.6,Yes
1950/1951,NBA,Boston Celtics,39,30,.565,2.5,85.2,85.5,Yes
1950/1951,NBA,New York Knicks,36,30,.545,4.0,85.8,85.4,Yes
1950/1951,NBA,Syracuse Nationals,32,34,.485,8.0,86.1,85.5,Yes
1950/1951,NBA,Baltimore Bullets,24,42,.364,16.0,82.0,84.3,No
1950/1951,NBA,Washington Capitols,10,25,.286,14.5,81.3,86.0,No
1950/1951,NBA,Minneapolis Lakers,44,24,.647,—,82.8,77.4,Yes
1950/1951,NBA,Rochester Royals,41,27,.603,3.0,84.6,81.7,Yes
1950/1951,NBA,Fort Wayne Pistons,32,36,.471,12.0,84.1,86.0,Yes
1950/1951,NBA,Indianapolis Olympians,31,37,.456,13.0,81.7,84.1,Yes
1950/1951,NBA,Tri-Cities Blackhawks,25,43,.368,19.0,84.3,88.1,No
1951/1952,NBA,Syracuse Nationals,40,26,.606,—,86.7,82.2,Yes
1951/1952,NBA,Boston Celtics,39,27,.591,1.0,91.3,87.2,Yes
1951/1952,NBA,New York Knicks,37,29,.561,3.0,85.0,84.2,Yes
1951/1952,NBA,Philadelphia Warriors,33,33,.500,7.0,86.5,87.8,Yes
1951/1952,NBA,Baltimore Bullets,20,46,.303,20.0,81.5,89.0,No
1951/1952,NBA,Rochester Royals,41,25,.621,—,86.2,82.8,Yes
1951/1952,NBA,Minneapolis Lakers,40,26,.606,1.0,85.6,79.5,Yes
1951/1952,NBA,Indianapolis Olympians,34,32,.515,7.0,82.9,82.8,Yes
1951/1952,NBA,Fort Wayne Pistons,29,37,.439,12.0,78.0,80.1,Yes
1951/1952,NBA,Milwaukee Hawks,17,49,.258,24.0,73.2,81.2,No
1952/1953,NBA,New York Knicks,47,23,.671,—,85.5,80.3,Yes
1952/1953,NBA,Syracuse Nationals,47,24,.662,0.5,85.6,81.3,Yes
1952/1953,NBA,Boston Celtics,46,25,.648,1.5,88.1,85.8,Yes
1952/1953,NBA,Baltimore Bullets,16,54,.229,31.0,84.4,90.9,Yes
1952/1953,NBA,Philadelphia Warriors,12,57,.174,34.5,80.2,87.4,No
1952/1953,NBA,Minneapolis Lakers,48,22,.686,—,85.3,79.2,Yes
1952/1953,NBA,Rochester Royals,44,26,.629,4.0,86.3,83.5,Yes
1952/1953,NBA,Fort Wayne Pistons,36,33,.522,11.5,81.0,81.1,Yes
1952/1953,NBA,Indianapolis Olympians,28,43,.394,20.5,74.6,77.4,Yes
1952/1953,NBA,Milwaukee Hawks,27,44,.380,21.5,75.9,77.4,No
1953/1954,NBA,New York Knicks,44,28,.611,—,79.0,79.1,Yes
1953/1954,NBA,Syracuse Nationals,42,30,.583,2.0,83.5,78.6,Yes
1953/1954,NBA,Boston Celtics,42,30,.583,2.0,87.7,85.4,Yes
1953/1954,NBA,Philadelphia Warriors,29,43,.403,15.0,78.2,80.4,No
1953/1954,NBA,Baltimore Bullets,16,56,.222,28.0,78.3,85.1,No
1953/1954,NBA,Minneapolis Lakers,46,26,.639,—,81.7,78.6,Yes
1953/1954,NBA,Rochester Royals,44,28,.611,2.0,79.8,77.3,Yes
1953/1954,NBA,Fort Wayne Pistons,40,32,.556,6.0,77.7,76.1,Yes
1953/1954,NBA,Milwaukee Hawks,21,51,.292,25.0,70.0,75.3,No
1954/1955,NBA,Syracuse Nationals,43,29,.597,—,91.1,89.7,Yes
1954/1955,NBA,New York Knicks,38,34,.528,5.0,92.7,92.6,Yes
1954/1955,NBA,Boston Celtics,36,36,.500,7.0,101.5,101.5,Yes
1954/1955,NBA,Philadelphia Warriors,33,39,.458,10.0,93.2,93.5,No
1954/1955,NBA,Baltimore Bullets (1),,,,,,,No
1954/1955,NBA,Fort Wayne Pistons,43,29,.597,—,92.4,90.0,Yes
1954/1955,NBA,Minneapolis Lakers,40,32,.556,3.0,95.6,94.5,Yes
1954/1955,NBA,Rochester Royals,29,43,.403,14.0,90.8,92.4,Yes
1954/1955,NBA,Milwaukee Hawks,26,46,.361,17.0,87.4,90.4,No
1955/1956,NBA,Philadelphia Warriors,45,27,.625,—,103.1,98.8,Yes
1955/1956,NBA,Boston Celtics,39,33,.542,6.0,106.0,105.3,Yes
1955/1956,NBA,Syracuse Nationals,35,37,.486,10.0,96.9,96.9,Yes
1955/1956,NBA,New York Knicks,35,37,.486,10.0,100.2,100.6,Yes
1955/1956,NBA,Fort Wayne Pistons,37,35,.514,—,94.4,93.7,Yes
1955/1956,NBA,Minneapolis Lakers,33,39,.458,4.0,99.3,100.2,Yes
1955/1956,NBA,St. Louis Hawks,33,39,.458,4.0,96.6,98.0,Yes
1955/1956,NBA,Rochester Royals,31,41,.431,6.0,95.8,98.7,No
1956/1957,NBA,Boston Celtics,44,28,.611,—,105.5,100.2,Yes
1956/1957,NBA,Syracuse Nationals,38,34,.528,6.0,99.7,101.1,Yes
1956/1957,NBA,Philadelphia Warriors,37,35,.514,7.0,100.4,98.8,Yes
1956/1957,NBA,New York Knicks,36,36,.500,8.0,100.8,100.9,No
1956/1957,NBA,St. Louis Hawks,34,38,.472,—,98.5,98.6,Yes
1956/1957,NBA,Minneapolis Lakers,34,38,.472,—,102.3,103.1,Yes
1956/1957,NBA,Fort Wayne Pistons,34,38,.472,—,96.4,98.7,Yes
1956/1957,NBA,Rochester Royals,31,41,.431,3.0,93.4,95.6,No
1957/1958,NBA,Boston Celtics,49,23,.681,—,109.9,104.4,Yes
1957/1958,NBA,Syracuse Nationals,41,31,.569,8.0,107.2,105.1,Yes
1957/1958,NBA,Philadelphia Warriors,37,35,.514,12.0,104.3,104.4,Yes
1957/1958,NBA,New York Knicks,35,37,.486,14.0,112.1,110.8,No
1957/1958,NBA,St. Louis Hawks,41,31,.569,—,107.5,106.2,Yes
1957/1958,NBA,Detroit Pistons,33,39,.458,8.0,105.3,107.7,Yes
1957/1958,NBA,Cincinnati Royals,33,39,.458,8.0,101.7,103.1,Yes
1957/1958,NBA,Minneapolis Lakers,19,53,.264,22.0,105.1,111.5,No
1958/1959,NBA,Boston Celtics,52,20,.722,—,116.4,109.9,Yes
1958/1959,NBA,New York Knicks,40,32,.556,12.0,110.3,110.1,Yes
1958/1959,NBA,Syracuse Nationals,35,37,.486,17.0,113.1,109.1,Yes
1958/1959,NBA,Philadelphia Warriors,32,40,.444,20.0,103.3,106.3,No
1958/1959,NBA,St. Louis Hawks,49,23,.681,—,108.8,105.1,Yes
1958/1959,NBA,Minneapolis Lakers,33,39,.458,16.0,106.0,107.3,Yes
1958/1959,NBA,Detroit Pistons,28,44,.389,21.0,105.1,106.3,Yes
1958/1959,NBA,Cincinnati Royals,19,53,.264,30.0,103.1,111.9,No
1959/1960,NBA,Boston Celtics,59,16,.787,—,124.5,116.2,Yes
1959/1960,NBA,Philadelphia Warriors,49,26,.653,10.0,118.6,116.0,Yes
1959/1960,NBA,Syracuse Nationals,45,30,.600,14.0,118.9,116.3,Yes
1959/1960,NBA,New York Knicks,27,48,.360,32.0,117.3,119.6,No
1959/1960,NBA,St. Louis Hawks,46,29,.613,—,113.4,110.7,Yes
1959/1960,NBA,Detroit Pistons,30,45,.400,16.0,111.6,115.0,Yes
1959/1960,NBA,Minneapolis Lakers,25,50,.333,21.0,107.3,111.5,Yes
1959/1960,NBA,Cincinnati Royals,19,56,.253,27.0,111.1,117.4,No
1960/1961,NBA,Boston Celtics,57,22,.722,—,119.7,114.1,Yes
1960/1961,NBA,Philadelphia Warriors,46,33,.582,11.0,121.0,120.1,Yes
1960/1961,NBA,Syracuse Nationals,38,41,.481,19.0,121.3,119.2,Yes
1960/1961,NBA,New York Knicks,21,58,.266,36.0,113.7,120.1,No
1960/1961,NBA,St. Louis Hawks,51,28,.646,—,118.8,115.2,Yes
1960/1961,NBA,Los Angeles Lakers,36,43,.456,15.0,114.0,114.1,Yes
1960/1961,NBA,Detroit Pistons,34,45,.430,17.0,118.6,121.0,Yes
1960/1961,NBA,Cincinnati Royals,33,46,.418,18.0,117.9,121.3,No
1961/1962,NBA,Boston Celtics,60,20,.750,—,121.1,111.9,Yes
