Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2019/2020,NBA,Miami Heat,44,29,.603,—,112.0,109.1,Yes,25.9,43,30,2.95,-0.35,2.59,112.5,109.5,+3.0,98.3,.299,.419,.587,.547,13.5,20.3,.234,.523,12.6,79.5,.213,73,243.1,39.5,84.4,.468,13.4,35.4,.379,26.0,49.0,.532,19.7,25.2,.783,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0
2019/2020,NBA,Orlando Magic,33,40,.452,11.0,107.3,108.3,Yes,26.1,34,39,-1.01,0.09,-0.93,108.5,109.5,-1.0,98.6,.256,.364,.544,.506,11.5,22.3,.198,.535,13.2,79.1,.176,73,240.7,39.3,88.6,.444,11.1,32.2,.343,28.3,56.4,.502,17.6,22.7,.774,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
2019/2020,NBA,Charlotte Hornets,23,42,.354,17.0,102.9,109.6,No,24.3,19,46,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,.252,.399,.539,.504,13.3,23.9,.188,.546,13.1,74.4,.159,65,242.3,37.3,85.9,.434,12.1,34.3,.352,25.2,51.6,.489,16.2,21.6,.748,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
2019/2020,NBA,Washington Wizards,25,47,.347,18.5,114.4,119.1,No,25.1,26,46,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,.270,.358,.562,.523,12.2,22.2,.213,.558,13.9,75.3,.231,72,241.0,41.5,90.9,.457,12.0,32.6,.368,29.5,58.3,.506,19.4,24.6,.788,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4
2019/2020,NBA,Atlanta Hawks,20,47,.299,21.0,111.8,119.7,No,24.1,18,49,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,.258,.398,.554,.515,13.8,21.6,.204,.543,12.7,74.9,.233,67,243.0,40.6,90.6,.449,12.0,36.1,.333,28.6,54.5,.525,18.5,23.4,.790,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
2019/2020,NBA,Denver Nuggets,46,27,.630,—,111.3,109.2,Yes,25.6,41,32,2.11,0.24,2.35,113.1,111.0,+2.1,97.1,.235,.344,.567,.535,12.3,24.8,.183,.533,12.9,76.8,.198,73,243.1,42.0,88.9,.473,11.0,30.6,.359,31.1,58.3,.533,16.2,20.9,.777,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3
2019/2020,NBA,Oklahoma City Thunder,44,28,.611,1.5,110.4,108.4,Yes,25.5,41,31,1.99,0.34,2.33,110.8,108.8,+2.0,98.8,.290,.353,.573,.530,12.4,19.3,.231,.518,12.6,76.8,.173,72,242.1,40.0,85.5,.468,10.7,30.2,.355,29.3,55.3,.529,19.8,24.8,.796,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4
2019/2020,NBA,Utah Jazz,44,28,.611,1.5,111.3,108.8,Yes,27.3,42,30,2.47,0.05,2.52,112.3,109.9,+2.4,98.6,.268,.414,.585,.549,13.7,21.6,.208,.518,11.1,78.9,.185,72,241.0,40.1,85.1,.471,13.4,35.2,.380,26.7,49.9,.535,17.8,22.8,.779,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3
2019/2020,NBA,Portland Trail Blazers,35,39,.473,11.5,115.0,116.1,Yes,27.5,34,40,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,.242,.374,.570,.533,11.2,22.4,.194,.530,11.2,75.3,.208,74,241.0,42.2,91.2,.463,12.9,34.1,.377,29.3,57.1,.514,17.7,22.1,.804,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0
2019/2020,NBA,Minnesota Timberwolves,19,45,.297,22.5,113.3,117.5,No,24.8,24,40,-4.30,0.28,-4.02,108.1,112.2,-4.1,103.4,.277,.433,.551,.514,13.0,22.1,.209,.541,13.2,77.2,.218,64,243.1,40.4,91.6,.441,13.3,39.7,.336,27.1,52.0,.521,19.1,25.4,.753,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
2019/2020,NBA,Los Angeles Lakers,52,19,.732,—,113.4,107.6,Yes,29.5,48,23,5.79,0.49,6.28,112.0,106.3,+5.7,100.9,.276,.358,.573,.542,13.3,24.5,.201,.515,14.1,78.8,.205,71,240.7,42.3,88.3,.480,11.0,31.6,.349,31.3,56.7,.552,17.7,24.3,.729,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
2019/2020,NBA,Los Angeles Clippers,49,23,.681,3.5,116.3,109.9,Yes,27.4,50,22,6.44,0.21,6.66,113.9,107.6,+6.3,101.5,.295,.375,.577,.535,12.6,23.5,.233,.506,12.2,77.6,.206,72,241.4,41.6,89.2,.466,12.4,33.5,.371,29.1,55.8,.522,20.8,26.3,.791,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3
2019/2020,NBA,Phoenix Suns,34,39,.466,19.0,113.6,113.4,No,24.6,37,36,0.22,0.35,0.56,111.7,111.4,+0.3,101.3,.271,.361,.576,.532,13.0,22.2,.226,.539,13.7,78.8,.221,73,241.0,41.2,88.1,.468,11.4,31.8,.358,29.8,56.3,.529,19.9,23.8,.834,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6
2019/2020,NBA,Sacramento Kings,31,41,.431,21.5,110.1,112.1,No,27.0,31,41,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,.230,.395,.566,.534,13.0,21.9,.177,.543,13.6,78.4,.225,72,242.4,40.9,88.4,.462,12.7,34.9,.364,28.2,53.5,.527,15.7,20.3,.770,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1
2019/2020,NBA,Golden State Warriors,15,50,.231,34.0,106.3,115.0,No,24.4,16,49,-8.71,0.59,-8.12,105.2,113.8,-8.6,100.3,.264,.355,.540,.497,13.2,21.5,.212,.553,13.7,76.4,.193,65,241.9,38.6,88.2,.438,10.4,31.3,.334,28.2,56.9,.495,18.7,23.2,.803,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
2019/2020,NBA,Houston Rockets,44,28,.611,—,117.8,114.8,Yes,29.2,42,30,2.96,0.17,3.13,112.9,110.1,+2.8,103.7,.288,.501,.578,.537,12.6,21.0,.228,.529,13.7,75.6,.197,72,241.4,40.8,90.4,.451,15.6,45.3,.345,25.1,45.2,.557,20.6,26.1,.791,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
2019/2020,NBA,Dallas Mavericks,43,32,.573,2.5,117.0,112.1,Yes,26.1,49,26,4.95,-0.07,4.87,116.7,111.7,+5.0,99.3,.264,.457,.581,.545,11.2,23.2,.206,.525,10.6,77.7,.175,75,242.3,41.7,90.3,.461,15.1,41.3,.367,26.5,49.0,.541,18.6,23.8,.779,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0
2019/2020,NBA,Memphis Grizzlies,34,39,.466,10.5,112.6,113.7,No,24.1,34,39,-1.07,0.16,-0.91,109.2,110.3,-1.1,102.8,.240,.346,.561,.528,13.2,23.0,.183,.521,12.7,77.8,.217,73,240.7,42.5,90.9,.468,10.9,31.5,.347,31.6,59.4,.532,16.6,21.8,.763,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
2019/2020,NBA,San Antonio Spurs,32,39,.451,11.5,114.1,115.2,No,27.6,33,38,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,.262,.318,.572,.531,11.2,20.1,.212,.542,11.7,79.2,.193,71,242.5,42.2,89.4,.472,10.7,28.5,.376,31.5,61.0,.516,19.0,23.4,.810,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
2019/2020,NBA,New Orleans Pelicans,30,42,.417,14.0,115.8,117.1,No,25.4,33,39,-1.29,0.74,-0.55,110.7,111.9,-1.2,103.7,.256,.403,.568,.539,13.9,24.2,.186,.532,12.4,77.8,.212,72,242.1,42.6,91.6,.465,13.6,36.9,.370,28.9,54.8,.528,17.1,23.4,.729,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8
2019/2020,WNBA,Chicago Sky,12,10,.545,—,86.7,84.1,Yes,27.2,13,9,2.64,-0.22,2.42,107.6,104.3,+3.3,80.7,.218,.317,.580,.547,16.6,23.3,.178,.503,15.0,76.4,.205,22,200.0,33.5,68.2,.491,7.6,21.6,.351,25.9,46.5,.557,12.1,14.9,.817,7.3,26.3,33.6,21.8,7.5,4.0,14.9,18.0,86.7
2019/2020,WNBA,Connecticut Sun,10,12,.455,2.0,80.4,79.9,Yes,27.5,11,11,0.45,-0.04,0.42,101.7,101.1,+0.6,78.6,.288,.273,.513,.469,14.5,27.8,.217,.495,16.9,78.4,.238,22,201.1,29.7,69.5,.427,5.9,19.0,.311,23.8,50.5,.470,15.1,20.0,.755,10.0,25.5,35.5,18.3,9.2,3.1,13.3,18.8,80.4
2019/2020,WNBA,Washington Mystics,9,13,.409,3.0,80.0,81.5,Yes,27.1,10,12,-1.55,0.13,-1.42,103.5,105.5,-2.0,76.4,.220,.356,.532,.493,13.9,21.2,.181,.524,16.4,76.1,.217,22,202.3,29.6,68.5,.433,8.3,24.4,.341,21.3,44.1,.483,12.4,15.0,.825,7.3,24.1,31.5,19.7,7.9,2.1,12.1,17.0,80.0
2019/2020,WNBA,Atlanta Dream,7,15,.318,5.0,81.0,87.6,No,25.8,5,17,-6.68,0.56,-6.13,100.1,108.4,-8.3,80.0,.227,.237,.518,.484,15.5,25.3,.172,.513,14.1,75.7,.231,22,202.3,31.4,71.0,.442,5.9,16.9,.350,25.5,54.2,.471,12.2,16.1,.758,9.0,25.8,34.9,16.9,6.9,3.3,14.4,18.5,81.0
2019/2020,WNBA,Indiana Fever,6,16,.273,6.0,81.7,89.5,No,25.5,5,17,-7.86,0.66,-7.21,104.0,114.0,-10.0,78.5,.290,.300,.543,.493,16.6,26.9,.238,.521,11.8,74.7,.252,22,200.0,29.5,66.7,.441,6.9,20.0,.345,22.5,46.7,.482,15.9,19.4,.819,9.0,24.7,33.7,19.2,5.1,3.2,15.0,17.7,81.7
2019/2020,WNBA,New York Liberty,2,20,.091,10.0,71.9,85.9,No,24.3,2,20,-14.00,1.17,-12.83,88.6,105.9,-17.3,81.1,.280,.415,.485,.430,18.5,21.6,.230,.491,12.9,77.5,.208,22,200.0,24.5,66.0,.372,7.6,27.4,.277,17.0,38.6,.439,15.2,18.5,.823,8.0,27.8,35.8,14.9,6.3,4.3,16.8,19.1,71.9
2019/2020,WNBA,Las Vegas Aces,18,4,.818,—,88.7,80.1,Yes,27.1,18,4,8.59,-0.72,7.88,109.6,99.0,+10.6,81.0,.340,.167,.562,.507,13.4,24.6,.277,.485,14.9,78.9,.157,22,200.0,32.7,68.7,.477,4.2,11.5,.368,28.5,57.2,.498,19.0,23.4,.815,8.1,29.3,37.4,20.7,7.8,3.0,12.2,15.0,88.7
2019/2020,WNBA,Seattle Storm,18,4,.818,—,87.5,76.0,Yes,27.8,19,3,11.55,-0.96,10.58,110.4,95.9,+14.5,79.2,.278,.315,.575,.532,14.8,23.4,.227,.454,16.7,74.0,.202,22,200.0,31.9,67.8,.470,8.4,21.4,.394,23.5,46.4,.505,15.4,18.9,.817,7.6,26.8,34.4,21.9,10.0,4.0,13.2,16.5,87.5
2019/2020,WNBA,Los Angeles Sparks,15,7,.682,3.0,84.9,80.3,Yes,28.6,15,7,4.59,-0.38,4.21,105.9,100.2,+5.7,79.2,.251,.271,.571,.535,15.8,19.5,.199,.511,18.9,76.0,.204,22,202.3,32.2,67.0,.481,7.2,18.1,.398,25.0,48.8,.511,13.3,16.8,.792,6.4,25.0,31.4,20.0,9.0,3.0,13.9,18.3,84.9
2019/2020,WNBA,Minnesota Lynx,14,8,.636,4.0,84.4,80.6,Yes,24.8,14,8,3.82,-0.32,3.50,109.6,104.6,+5.0,77.0,.273,.321,.562,.518,15.9,30.4,.223,.505,16.3,75.1,.217,22,200.0,30.6,67.0,.456,8.3,21.5,.385,22.3,45.5,.490,15.0,18.3,.818,9.9,24.5,34.4,19.8,8.4,3.0,14.2,16.9,84.4
2019/2020,WNBA,Phoenix Mercury,13,9,.591,5.0,86.1,84.1,Yes,28.0,13,9,2.00,-0.17,1.83,106.8,104.3,+2.5,80.2,.314,.366,.564,.513,15.5,22.2,.259,.477,14.2,73.1,.233,22,201.1,30.2,67.0,.450,8.4,24.5,.343,21.8,42.5,.512,17.4,21.0,.825,7.5,26.5,34.0,20.4,6.8,5.6,14.0,19.7,86.1
2019/2020,WNBA,Dallas Wings,8,14,.364,10.0,83.4,87.0,No,23.8,8,14,-3.55,0.30,-3.25,105.9,110.4,-4.5,77.8,.270,.389,.525,.478,12.1,24.4,.220,.521,15.1,73.4,.257,22,202.3,29.5,71.0,.415,8.9,27.6,.323,20.5,43.4,.474,15.6,19.1,.815,9.0,23.7,32.7,15.6,8.2,3.2,11.0,19.7,83.4
2020/2021,NBA,Philadelphia 76ers,49,23,.681,—,113.6,108.1,Yes,27.1,48,24,5.58,-0.31,5.28,113.2,107.6,+5.6,99.5,.293,.347,.579,.541,12.8,23.2,.225,.521,13.8,78.2,.200,72,242.1,41.4,86.9,.476,11.3,30.1,.374,30.1,56.8,.531,19.6,25.5,.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6
2020/2021,NBA,Brooklyn Nets,48,24,.667,1.0,118.6,114.1,Yes,28.2,46,26,4.50,-0.27,4.24,118.3,113.8,+4.5,99.5,.258,.413,.610,.575,12.2,21.4,.208,.531,11.1,77.3,.187,72,241.7,43.1,87.3,.494,14.2,36.1,.392,29.0,51.2,.565,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6
2020/2021,NBA,New York Knicks,41,31,.569,8.0,107.0,104.7,Yes,25.6,41,31,2.31,-0.18,2.13,110.6,108.2,+2.4,95.9,.242,.347,.559,.524,11.9,21.9,.190,.509,11.7,78.6,.196,72,242.1,39.4,86.5,.456,11.8,30.0,.392,27.7,56.4,.490,16.4,20.9,.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0
2020/2021,NBA,Boston Celtics,36,36,.500,13.0,112.6,111.2,Yes,25.1,39,33,1.46,-0.14,1.32,114.0,112.5,+1.5,98.3,.234,.409,.574,.543,12.5,24.3,.181,.539,12.8,78.1,.215,72,241.4,41.5,88.9,.466,13.6,36.4,.374,27.9,52.5,.530,16.1,20.8,.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
2020/2021,NBA,Toronto Raptors,27,45,.375,22.0,111.3,111.7,No,26.6,35,37,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,.241,.444,.567,.529,11.9,20.8,.196,.543,14.4,76.3,.234,72,240.3,39.7,88.7,.448,14.5,39.3,.368,25.3,49.3,.512,17.4,21.3,.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3
2020/2021,NBA,Milwaukee Bucks,46,26,.639,—,120.1,114.2,Yes,28.1,48,24,5.89,-0.32,5.57,117.2,111.4,+5.8,102.2,.233,.404,.593,.566,12.0,23.3,.177,.536,11.5,79.7,.157,72,240.7,44.7,91.8,.487,14.4,37.1,.389,30.3,54.7,.554,16.2,21.4,.760,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1
2020/2021,NBA,Indiana Pacers,34,38,.472,12.0,115.3,115.3,No,26.5,36,36,-0.04,-0.08,-0.13,112.4,112.4,0.0,101.6,.227,.372,.575,.542,11.9,20.2,.180,.531,12.7,74.9,.201,72,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
2020/2021,NBA,Chicago Bulls,31,41,.431,15.0,110.7,111.6,No,25.6,34,38,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,.197,.383,.575,.547,13.6,22.3,.156,.538,11.6,80.3,.196,72,241.4,42.2,88.6,.476,12.6,34.0,.370,29.6,54.6,.542,13.8,17.5,.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7
2020/2021,NBA,Cleveland Cavaliers,22,50,.306,24.0,103.8,112.3,No,24.0,18,54,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,.261,.347,.543,.508,13.9,23.6,.194,.556,13.0,76.6,.183,72,242.1,38.6,85.8,.450,10.0,29.7,.336,28.6,56.0,.510,16.7,22.4,.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8
2020/2021,NBA,Detroit Pistons,20,52,.278,26.0,106.6,111.1,No,24.5,26,46,-4.47,0.09,-4.38,108.0,112.5,-4.5,97.9,.273,.385,.556,.519,13.5,21.9,.207,.541,12.6,76.9,.195,72,242.1,38.7,85.6,.452,11.6,32.9,.351,27.1,52.7,.515,17.8,23.4,.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6
2020/2021,NBA,Atlanta Hawks,41,31,.569,—,113.7,111.4,Yes,25.4,41,31,2.32,-0.18,2.14,115.7,113.3,+2.4,97.6,.278,.382,.581,.539,11.9,24.4,.226,.530,11.1,77.8,.190,72,241.7,40.8,87.2,.468,12.4,33.4,.373,28.4,53.9,.526,19.7,24.2,.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7
2020/2021,NBA,Miami Heat,40,32,.556,1.0,108.1,108.0,Yes,27.4,36,36,0.03,-0.09,-0.06,111.2,111.2,0.0,96.6,.252,.432,.581,.546,13.1,19.4,.199,.542,13.8,77.9,.183,72,241.4,39.2,83.7,.468,12.9,36.2,.358,26.3,47.5,.553,16.7,21.1,.790,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1
2020/2021,NBA,Washington Wizards,34,38,.472,7.0,116.6,118.5,Yes,26.6,32,40,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,.288,.319,.569,.531,12.3,21.3,.221,.539,12.5,77.6,.217,72,241.7,43.2,90.9,.475,10.2,29.0,.351,33.0,61.9,.533,20.1,26.2,.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6
2020/2021,NBA,Charlotte Hornets,33,39,.458,8.0,109.5,111.4,No,24.6,32,40,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,.238,.422,.564,.532,13.3,23.5,.181,.550,13.2,75.7,.163,72,241.0,39.9,87.8,.455,13.7,37.0,.369,26.3,50.8,.517,15.9,20.9,.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5
2020/2021,NBA,Orlando Magic,21,51,.292,20.0,104.0,113.3,No,25.6,17,55,-9.31,0.29,-9.02,105.1,114.5,-9.4,98.7,.240,.356,.527,.490,11.5,21.6,.186,.547,11.5,78.2,.169,72,240.7,38.3,89.2,.429,10.9,31.8,.343,27.4,57.4,.476,16.6,21.4,.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0
2020/2021,NBA,Utah Jazz,52,20,.722,—,116.4,107.2,Yes,28.5,55,17,9.25,-0.29,8.97,117.6,108.3,+9.3,98.5,.244,.488,.597,.563,12.7,24.5,.195,.507,10.3,79.3,.159,72,241.0,41.3,88.1,.468,16.7,43.0,.389,24.5,45.1,.544,17.2,21.5,.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4
2020/2021,NBA,Denver Nuggets,47,25,.653,5.0,115.1,110.1,Yes,26.1,47,25,4.93,-0.11,4.82,117.1,112.1,+5.0,97.1,.219,.383,.588,.557,12.1,24.7,.176,.545,12.9,78.9,.200,72,242.8,43.3,89.2,.485,12.9,34.2,.377,30.4,55.0,.552,15.7,19.5,.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1
2020/2021,NBA,Portland Trail Blazers,42,30,.583,10.0,116.1,114.3,Yes,27.4,40,32,1.79,0.01,1.81,117.8,116.0,+1.8,98.4,.238,.448,.577,.540,9.9,23.0,.195,.546,11.2,77.5,.203,72,240.3,41.3,91.1,.453,15.7,40.8,.385,25.6,50.3,.509,17.8,21.6,.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1
2020/2021,NBA,Minnesota Timberwolves,23,49,.319,29.0,112.1,117.7,No,23.2,24,48,-5.56,0.31,-5.25,109.5,115.0,-5.5,101.6,.254,.413,.555,.520,12.4,22.7,.193,.556,13.3,76.8,.207,72,241.7,40.7,90.9,.448,13.1,37.6,.349,27.6,53.3,.518,17.6,23.1,.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1
2020/2021,NBA,Oklahoma City Thunder,22,50,.306,30.0,105.0,115.6,No,22.8,15,57,-10.64,0.51,-10.13,103.5,114.0,-10.5,101.0,.242,.399,.539,.509,14.2,21.2,.176,.547,11.5,77.9,.167,72,241.0,38.8,88.0,.441,11.9,35.1,.339,26.9,52.9,.509,15.5,21.3,.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0
2020/2021,NBA,Phoenix Suns,51,21,.708,—,115.3,109.5,Yes,26.6,49,23,5.82,-0.15,5.67,117.2,111.3,+5.9,97.2,.212,.392,.597,.564,11.5,20.8,.177,.534,12.4,78.5,.194,72,242.8,43.3,88.3,.490,13.1,34.6,.378,30.3,53.7,.563,15.6,18.7,.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3
2020/2021,NBA,Los Angeles Clippers,47,25,.653,4.0,114.0,107.8,Yes,28.8,49,23,6.18,-0.16,6.02,117.6,111.2,+6.4,96.9,.222,.400,.599,.564,12.2,22.7,.186,.531,11.9,79.1,.186,72,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0
2020/2021,NBA,Los Angeles Lakers,42,30,.583,9.0,109.5,106.8,Yes,28.2,42,30,2.79,-0.03,2.77,109.9,107.1,+2.8,98.7,.271,.363,.569,.536,13.6,22.5,.200,.526,13.7,79.7,.184,72,242.4,40.6,86.1,.472,11.1,31.2,.354,29.6,54.8,.539,17.2,23.3,.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5
2020/2021,NBA,Golden State Warriors,39,33,.542,12.0,113.7,112.7,No,26.7,38,34,1.06,0.04,1.10,111.1,110.1,+1.0,102.2,.239,.439,.583,.551,13.3,17.9,.188,.522,13.1,76.6,.223,72,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7
