Season,League,Team,wins,losses,win_loss_pct,gb,pts_per_g,opp_pts_per_g,Playoffs,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,net_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
2019/2020,NBA,Toronto Raptors,53,19,.736,—,112.8,106.5,Yes,26.6,50,22,6.24,-0.26,5.97,111.1,105.0,+6.1,100.9,.264,.421,.574,.536,13.1,21.3,.210,.502,14.6,76.7,.202,72,241.4,40.2,87.9,.458,13.8,37.0,.374,26.4,50.9,.519,18.5,23.2,.796,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8
2019/2020,NBA,Boston Celtics,48,24,.667,5.0,113.7,107.3,Yes,25.3,50,22,6.31,-0.47,5.83,113.3,107.0,+6.3,99.5,.259,.386,.570,.531,12.2,23.9,.207,.509,13.5,77.4,.215,72,242.1,41.3,89.6,.461,12.6,34.5,.364,28.7,55.0,.522,18.6,23.2,.801,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7
2019/2020,NBA,Philadelphia 76ers,43,30,.589,10.5,110.7,108.4,Yes,26.3,42,31,2.38,-0.13,2.25,111.3,109.0,+2.3,99.0,.255,.360,.566,.534,12.7,23.9,.193,.523,12.5,80.3,.214,73,241.0,41.1,87.9,.468,11.6,31.6,.368,29.5,56.3,.524,16.9,22.4,.755,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7
2019/2020,NBA,Brooklyn Nets,35,37,.486,18.0,111.8,112.3,Yes,26.3,35,37,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,.267,.423,.554,.520,13.1,23.2,.199,.511,11.0,77.8,.187,72,242.8,40.4,90.3,.448,13.1,38.1,.343,27.3,52.1,.524,17.9,24.1,.745,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
2019/2020,NBA,New York Knicks,21,45,.318,29.0,105.8,112.3,No,24.5,20,46,-6.45,-0.26,-6.72,106.5,113.0,-6.5,98.6,.263,.318,.531,.501,12.6,25.8,.182,.541,12.4,78.3,.224,66,241.9,40.0,89.3,.447,9.6,28.4,.337,30.4,61.0,.499,16.3,23.5,.694,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
2019/2020,NBA,Milwaukee Bucks,56,17,.767,—,118.7,108.6,Yes,29.2,57,16,10.08,-0.67,9.41,112.4,102.9,+9.5,105.1,.271,.428,.583,.552,12.9,20.7,.201,.489,12.0,81.6,.178,73,241.0,43.3,90.9,.476,13.8,38.9,.355,29.5,52.0,.567,18.3,24.7,.742,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
2019/2020,NBA,Indiana Pacers,45,28,.616,11.0,109.4,107.5,Yes,25.6,41,32,1.96,-0.33,1.63,110.0,108.0,+2.0,98.9,.216,.317,.565,.534,12.0,20.0,.170,.511,13.0,76.7,.192,73,241.4,42.1,88.5,.476,10.2,28.0,.363,31.9,60.4,.529,15.0,19.1,.787,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4
2019/2020,NBA,Chicago Bulls,22,43,.338,30.0,106.8,109.9,No,24.4,26,39,-3.08,-0.93,-4.00,106.7,109.8,-3.1,99.7,.231,.396,.547,.515,13.7,22.8,.175,.546,16.3,75.6,.239,65,241.2,39.6,88.6,.447,12.2,35.1,.348,27.4,53.5,.511,15.5,20.5,.755,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
2019/2020,NBA,Detroit Pistons,20,46,.303,32.5,107.2,110.8,No,25.9,26,40,-3.56,-0.82,-4.38,109.0,112.7,-3.7,97.6,.261,.381,.561,.529,13.8,22.6,.194,.541,12.7,75.9,.186,66,241.9,39.3,85.7,.459,12.0,32.7,.367,27.3,53.0,.515,16.6,22.4,.743,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2
2019/2020,NBA,Cleveland Cavaliers,19,46,.292,33.0,106.9,114.8,No,25.0,18,47,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,.227,.362,.553,.522,14.6,24.6,.172,.560,11.7,77.4,.164,65,241.9,40.3,87.9,.458,11.2,31.8,.351,29.1,56.1,.519,15.1,19.9,.758,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
